"month_n","state_n","district_n","sub_district","mdrtly_stntd","svrly_stntd","svr_wstg","mdrtly_wstd","svrly_uw","mdrtly_uw","nb_lbw","svr_wasting_percent","wasting_percent","stunting_percent","svrly_stunted_percent","underweight_percent","svrly_underweight_percent","low_birth_weight_percent"
"Dec","Maharashtra","Beed","Ambejogai",3539,2470,339,759,674,2614,46,2.39,7.73,42.19,17.34,19.04,3.90,16.49
"Dec","Maharashtra","Beed","Ashti",2832,1732,321,687,378,1664,46,2.20,6.92,31.28,11.87,13.32,2.46,21.30
"Dec","Maharashtra","Beed","Bid",5342,4063,706,1251,880,3537,107,2.75,7.62,36.37,15.71,14.98,2.98,23.94
"Dec","Maharashtra","Beed","Dharur",767,493,120,245,114,413,14,2.07,6.31,21.70,8.49,8.63,1.87,15.73
"Dec","Maharashtra","Beed","Georai",3004,2323,247,728,407,1706,59,1.24,4.91,26.78,11.68,10.22,1.97,16.81
"Dec","Maharashtra","Beed","Kaij",1816,1344,137,346,299,1129,37,1.58,5.57,36.40,15.48,13.71,2.87,18.97
"Dec","Maharashtra","Beed","Manjlegaon",3166,1893,108,426,353,1641,26,0.90,4.45,42.12,15.76,16.02,2.84,14.61
"Dec","Maharashtra","Beed","Parli",1741,1480,360,540,345,1131,27,3.95,9.88,35.27,16.21,14.51,3.39,20.00
"Dec","Maharashtra","Beed","Patoda",1210,733,31,160,98,518,6,0.46,2.81,28.51,10.76,8.54,1.36,5.71
"Dec","Maharashtra","Beed","Shirur (Kasar)",1296,610,105,324,118,663,12,1.52,6.21,27.58,8.83,11.33,1.71,15.19
"Dec","Maharashtra","Beed","Wadwani",1001,482,56,196,110,565,9,1.08,4.88,28.70,9.33,12.39,2.02,12.86
"Dec","Maharashtra","Bhandara","Bhandara",3699,2122,284,826,435,1983,47,1.59,6.20,32.30,11.77,12.65,2.28,16.85
"Dec","Maharashtra","Bhandara","Lakhandur",1614,1373,68,218,243,903,21,0.96,4.04,42.17,19.38,15.12,3.21,16.54
"Dec","Maharashtra","Bhandara","Lakhani",1652,898,164,342,190,887,19,2.28,7.03,35.41,12.47,14.54,2.56,15.57
"Dec","Maharashtra","Bhandara","Mohadi",896,554,40,99,101,301,21,0.65,2.26,23.52,8.99,4.82,1.21,14.58
"Dec","Maharashtra","Bhandara","Pauni",1944,1228,145,419,291,1191,18,1.94,7.55,42.41,16.42,19.41,3.81,16.82
"Dec","Maharashtra","Bhandara","Sakoli",1686,1209,91,268,266,838,23,1.12,4.41,35.52,14.83,12.88,3.10,18.70
"Dec","Maharashtra","Bhandara","Tumsar",1717,1197,80,218,210,742,29,0.89,3.33,32.52,13.36,9.16,2.02,16.29
"Dec","Maharashtra","Buldana","Buldana",6263,3086,398,1560,795,3345,71,1.21,5.95,28.38,9.37,11.28,2.17,13.95
"Dec","Maharashtra","Buldana","Chikhli",2575,1654,38,515,298,1656,39,0.29,4.22,32.25,12.61,12.35,1.88,16.18
"Dec","Maharashtra","Buldana","Deulgaon Raja",1106,658,102,269,204,801,12,2.17,7.89,37.45,13.97,18.66,3.79,15.58
"Dec","Maharashtra","Buldana","Jalgaon (Jamod)",1839,1187,60,331,352,1526,14,0.86,5.60,43.32,16.99,22.04,4.13,12.50
"Dec","Maharashtra","Buldana","Khamgaon",1951,1201,155,417,311,1451,35,1.61,5.92,32.57,12.41,12.07,2.13,16.75
"Dec","Maharashtra","Buldana","Lonar",1137,772,52,174,158,740,10,0.70,3.02,25.50,10.31,11.48,2.02,16.13
"Dec","Maharashtra","Buldana","Malkapur",1297,1002,266,288,242,838,11,4.83,10.05,41.66,18.16,18.62,4.17,15.49
"Dec","Maharashtra","Buldana","Mehkar",2815,1879,254,759,416,2176,14,1.94,7.73,35.77,14.32,17.92,2.88,8.28
"Dec","Maharashtra","Buldana","Motala",2455,1572,47,593,348,1739,17,0.47,6.40,40.19,15.69,17.00,2.83,10.56
"Dec","Maharashtra","Buldana","Nandura",1097,842,88,198,228,948,16,1.63,5.30,35.81,15.55,13.92,2.70,13.68
"Dec","Maharashtra","Buldana","Sangrampur",1477,896,98,352,335,1466,19,1.71,7.86,41.28,15.59,18.73,3.48,15.45
"Dec","Maharashtra","Buldana","Shegaon",1353,919,151,321,202,928,7,2.60,8.12,39.08,15.81,18.26,3.26,8.97
"Dec","Maharashtra","Buldana","Sindkhed Raja",2130,1498,194,489,391,1653,31,2.34,8.23,43.64,18.02,22.18,4.24,24.03
"Dec","Maharashtra","Chandrapur","Ballarpur",1862,1092,274,674,445,1635,23,3.30,11.41,35.50,13.12,23.25,4.97,15.97
"Dec","Maharashtra","Chandrapur","Bhadravati",1411,987,108,290,228,932,12,1.61,5.94,35.77,14.72,16.46,3.24,17.91
