month_n,district_n,wasting_percent,stunting_percent,underweight_percent,low_birth_weight_percent,svr_wasting_percent,svrly_stunting_percent
Dec,Mumbai City,7.60,17.96,12.85,16.26,3.17,11.03
Dec,Mumbai Suburban,7.86,21.25,13.86,16.52,2.74,12.73
Dec,Nagpur,4.33,20.01,11.12,17.63,1.63,12.48
Dec,Nanded,3.90,18.08,9.41,16.45,1.83,13.13
Dec,Nandurbar,6.56,29.54,28.78,18.33,1.69,35.31
Dec,Nashik,4.62,22.05,14.75,17.95,1.89,17.47
Dec,Osmanabad,3.75,22.23,11.28,13.93,1.00,11.33
Dec,Palghar,4.17,27.59,22.83,16.32,0.82,26.45
Dec,Parbhani,3.89,21.79,10.88,21.42,1.51,16.25
Dec,Pune,3.82,16.34,8.59,11.86,1.42,8.30
Dec,Raigad,2.43,15.00,6.77,12.76,0.72,7.38
Dec,Ratnagiri,3.51,20.15,11.59,15.67,0.74,9.98
Dec,Sangli,3.08,13.74,6.23,9.90,0.92,5.95
Dec,Satara,2.35,15.83,6.87,10.60,0.64,8.38
Dec,Sindhudurg,4.42,21.83,14.96,14.86,0.83,17.50
Dec,Solapur,3.06,18.13,7.78,13.99,1.17,10.25
Dec,Thane,5.48,21.16,13.27,18.41,1.77,12.47
Dec,Wardha,4.43,22.63,13.68,16.22,1.74,16.87
Dec,Washim,3.63,22.11,11.61,17.40,1.56,14.10
Dec,Yavatmal,4.51,21.98,13.53,16.99,1.83,17.91
Dec,BestDistrict,2.35,13.74,6.23,9.90,0.64,5.95
Dec,Maharashtra,4.27,20.32,12.00,16.08,1.53,13.60
