month_n,state_n,district_n,no_enrolled,stunting_percent,wasting_percent,underweight_percent,low_birth_weight_percent,no_enrolled_dt,per_no_enrld
Jan,Maharashtra,Sangli,20528384,18.79507,3.40832,7.40131,11.32293,976648698,2.1
Jan,Maharashtra,Satara,31482101,23.11052,2.49652,7.89452,11.75779,976648698,3.22
Jan,Maharashtra,Sindhudurg,1945594,38.33321,5.00905,17.68425,18.23529,976648698,0.2
Jan,Maharashtra,Solapur,52091829,26.94054,3.70029,8.8087,13.43887,976648698,5.33
Jan,Maharashtra,Thane,46828782,32.82755,6.92684,16.18467,17.48452,976648698,4.79
Jan,Maharashtra,Wardha,5271446,39.51874,5.39932,16.86818,17.11618,976648698,0.54
Jan,Maharashtra,Washim,4404840,35.01041,3.27323,13.19059,17.80264,976648698,0.45
Jan,Maharashtra,Yavatmal,22850520,38.20059,5.1887,15.77498,16.90141,976648698,2.34
Nov,Maharashtra,Ahmadnagar,73303503,25.3476,4.29816,11.79821,12.41117,975109747,7.52
Nov,Maharashtra,Akola,7407354,34.7042,6.07091,13.1219,14.91294,975109747,0.76
Nov,Maharashtra,Amravati,25326315,46.09879,7.58863,22.60592,16.57559,975109747,2.6
Nov,Maharashtra,Aurangabad,33860200,38.63037,6.92237,18.83204,22.693,975109747,3.47
Nov,Maharashtra,Beed,25441472,34.92217,6.67431,14.56086,17.50973,975109747,2.61
Nov,Maharashtra,Bhandara,4956931,36.13741,5.54215,13.77063,14.75904,975109747,0.51
Nov,Maharashtra,Buldana,24065688,35.52075,7.43942,16.22738,15.62071,975109747,2.47
Nov,Maharashtra,Chandrapur,18291966,42.88335,5.96063,18.05028,21.02473,975109747,1.88
Nov,Maharashtra,Dhule,16171260,44.60658,6.88564,19.11742,19.90338,975109747,1.66
Nov,Maharashtra,Gadchiroli,7500225,53.838,10.04518,33.51566,19.86301,975109747,0.77
Nov,Maharashtra,Gondia,7558260,33.80105,5.87017,14.41453,17.74295,975109747,0.78
Nov,Maharashtra,Hingoli,4823611,40.08465,7.90944,19.58449,20.86882,975109747,0.49
Nov,Maharashtra,Jalgaon,50616106,33.21621,6.60691,15.40568,14.89055,975109747,5.19
Nov,Maharashtra,Jalna,13820296,34.76086,7.88583,13.99259,23.04251,975109747,1.42
Nov,Maharashtra,Kolhapur,42008340,23.31089,4.54369,10.09025,13.63636,975109747,4.31
Nov,Maharashtra,Latur,17661857,32.18019,6.41171,13.00703,18.5845,975109747,1.81
Nov,Maharashtra,Mumbai City,2984087,29.17515,11.00275,16.12056,12.60684,975109747,0.31
Nov,Maharashtra,Mumbai Suburban,62835045,33.20556,10.53339,17.05702,16.78193,975109747,6.44
Nov,Maharashtra,Nagpur,33747584,33.56187,7.17928,14.45645,16.5844,975109747,3.46
Nov,Maharashtra,Nanded,39412440,32.41887,6.43508,13.18771,17.02244,975109747,4.04
Nov,Maharashtra,Nandurbar,14796630,67.75455,9.65621,41.32012,20.52378,975109747,1.52
Nov,Maharashtra,Nashik,92832046,40.59147,6.91804,19.85096,17.01168,975109747,9.52
Nov,Maharashtra,Osmanabad,9380804,34.39841,6.14655,15.04723,16.88312,975109747,0.96
Nov,Maharashtra,Palghar,21788723,54.32293,5.79279,30.38956,16.09733,975109747,2.23
Nov,Maharashtra,Parbhani,9191283,37.70058,5.80844,14.39674,21.14924,975109747,0.94
Nov,Maharashtra,Pune,105302427,25.48974,5.7282,11.20625,12.12211,975109747,10.8
