month_n,state_n,district_n,mdrtly_stntd,svrly_stntd,svr_wstg,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wasting_percent,stunting_percent,underweight_percent,low_birth_weight_percent,no_chld_bf_at_birth,no_chld_excly_bf,no_chld_rcvg_cf_wid_adq_dt_dvsty,no_chld_cf_wid_adq_dt_qnty,tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg,total_no_chld_enrld_cas_born_lstmnth,total_no_chld_0t6mnths_enrld_cas,no_chld_appr_cf,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_rcvg_cf_wid_adq_dt_dvsty,prnt_chld_cf_wid_adq_dt_qnty,per_no_chld_cf_wid_appr_hndwhg_bfr_fdg,prnt_intd_6to8mnth_cf_child,prnt_child_1yr_immnztn,prnt_intd_cf_6to24mnth_child,prnt_anwmic_wmn,prnt_4_anc_vst_dlvry,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_wmn_rstg_drg_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Nov,Maharashtra,Mumbai City,5900,3413,1068,2418,1382,4999,59,11,29.18,16.12,12.61,414,3635,13306,13440,14827,577,5277,14957,71.75,68.88,88.96,89.86,99.13,77.12,9.93,74.03,6.43,4.51,82.9,83.43,70.73
Nov,Maharashtra,Mumbai Suburban,30311,18373,3753,11613,6667,25231,364,10.53,33.21,17.06,16.78,1905,17947,66970,70851,76268,2569,24427,76933,74.15,73.47,87.05,92.09,99.14,83,15.25,78.2,8.24,3.89,92.42,92.35,77.54
Nov,Maharashtra,Nagpur,26577,17333,2715,6648,4888,19727,504,7.18,33.56,14.46,16.58,2615,18301,52951,52225,58133,3423,25009,59080,76.39,73.18,89.63,88.4,98.4,82.33,21.1,79.58,15.3,10.73,89.39,89.15,71.63
Nov,Maharashtra,Nanded,26754,20396,3106,6225,5813,19303,622,6.44,32.42,13.19,17.02,3020,22064,58303,57881,63361,4071,29299,64859,74.18,75.31,89.89,89.24,97.69,85.47,11.2,81.3,11.52,6.94,91.53,90.82,72.8
Nov,Maharashtra,Nandurbar,30138,39513,2586,7315,12517,32593,384,9.66,67.75,41.32,20.52,1626,12298,29317,29057,33376,2207,16767,34029,73.67,73.35,86.15,85.39,98.08,83.6,14.97,77.16,13.8,9.05,89.97,89.02,67.54
Nov,Maharashtra,Nashik,58161,48075,5373,12703,14292,47802,641,6.92,40.59,19.85,17.01,3261,29067,92423,92001,101966,4480,39122,103653,72.79,74.3,89.17,88.76,98.37,87.28,31.07,83.06,8.24,10.61,92.43,91.25,69.27
Nov,Maharashtra,Osmanabad,20011,10757,1511,3981,2938,11430,260,6.15,34.4,15.05,16.88,1334,9159,28603,28574,30522,1712,12085,31148,77.92,75.79,91.83,91.74,97.99,88.03,13.69,85.83,11.22,11.18,93.8,93.39,73.42
Nov,Maharashtra,Palghar,33747,33941,1254,5952,9250,31159,344,5.79,54.32,30.39,16.1,1748,11934,35639,37334,40949,2509,17208,41549,69.67,69.35,85.78,89.86,98.56,75.83,9.97,69.75,9.71,3.06,85.81,84.92,63.2
Nov,Maharashtra,Parbhani,14982,11097,1223,2785,2761,9261,265,5.81,37.7,14.4,21.15,1138,8502,25888,26155,28543,1485,11937,29087,76.63,71.22,89,89.92,98.13,84.16,15.02,79.81,9.99,8.22,90.42,90.05,71.34
Nov,Maharashtra,Pune,41589,21479,3770,10385,6254,27576,409,5.73,25.49,11.21,12.12,2987,25480,94268,97675,104143,4018,35162,105441,74.34,72.46,89.4,92.63,98.77,82.95,20.38,80.09,10.48,8.23,89.48,89.38,70.5
Nov,Maharashtra,Raigad,13315,6957,731,2412,2039,6986,209,3.7,23.83,9.44,12.98,1379,9382,28924,30173,32117,1829,13344,32485,75.4,70.31,89.04,92.88,98.87,78.91,26.48,77.35,9.99,10.1,89.05,89.14,68.11
Nov,Maharashtra,Ratnagiri,11020,5574,409,1933,1401,7128,94,4.2,29.75,13.8,11.55,693,4963,16748,18228,18907,920,6866,19073,75.33,72.28,87.81,95.57,99.13,84.9,33.64,79.09,13.67,10.24,93.07,93.16,73.25
Nov,Maharashtra,Sangli,15430,7036,1143,3535,1789,8027,203,4.35,20.89,8.21,11.48,1548,11696,37496,37743,40658,2111,17286,41131,73.33,67.66,91.16,91.76,98.85,76.64,12.23,76.53,11.93,5.32,83.92,83.76,64.67
Nov,Maharashtra,Satara,20741,11890,1106,3281,2169,10175,256,3.57,26.53,9,12.64,1683,12770,40870,42430,44355,2327,17087,44838,72.32,74.74,91.15,94.63,98.92,85.37,30.35,84.87,14.98,10.65,91.74,91.48,72.58
Nov,Maharashtra,Sindhudurg,5386,4279,234,1118,897,3954,63,5.55,39.58,18.81,17.5,315,2256,6707,7511,8007,405,3271,8078,77.78,68.97,83.03,92.98,99.12,80.67,30.21,72,17.88,10.29,89.88,90.06,72
Nov,Maharashtra,Solapur,35730,20579,2576,6455,4575,19436,549,4.69,29.18,10.53,14.46,3246,23063,69719,70942,76625,4376,31207,77695,74.18,73.9,89.73,91.31,98.62,83.83,17.91,81.14,9.02,7.57,90.13,89.76,69.94
Nov,Maharashtra,Thane,39470,24124,3660,10817,7372,28585,454,7.71,33.8,16.72,17.71,2222,17850,64857,64989,71394,2959,24185,72231,75.09,73.81,89.79,89.97,98.84,85.11,15.01,82.49,12.6,8.47,92.39,92.33,74.13
Nov,Maharashtra,Wardha,10189,7851,928,2143,2618,9121,198,6.91,40.53,17.8,17.68,901,6697,18417,18793,20340,1327,8862,20690,67.9,75.57,89.01,90.83,98.31,84.07,20.58,82.39,16.96,9.08,94.41,93.74,74.49
Nov,Maharashtra,Washim,15209,9713,1212,2987,2767,9045,198,6.33,37.54,16.57,18.07,969,7275,19740,19202,21839,1363,9853,22369,71.09,73.84,88.25,85.84,97.63,85.74,24.3,80.19,14.6,11.62,90.84,90.06,70.87
Nov,Maharashtra,Yavatmal,25702,20997,2193,5437,6511,19854,441,6.67,40.76,18.85,18.41,2012,15095,41837,41031,45548,2775,21504,46455,72.5,70.2,90.06,88.32,98.05,79.59,16.67,78.17,14.5,10.79,86.5,85.73,66.01
