month_n,state_n,district_n,mdrtly_stntd,svrly_stntd,svr_wstg,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wasting_percent,stunting_percent,underweight_percent,low_birth_weight_percent,no_chld_bf_at_birth,no_chld_excly_bf,no_chld_rcvg_cf_wid_adq_dt_dvsty,no_chld_cf_wid_adq_dt_qnty,tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg,total_no_chld_enrld_cas_born_lstmnth,total_no_chld_0t6mnths_enrld_cas,no_chld_appr_cf,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_rcvg_cf_wid_adq_dt_dvsty,prnt_chld_cf_wid_adq_dt_qnty,per_no_chld_cf_wid_appr_hndwhg_bfr_fdg,prnt_intd_6to8mnth_cf_child,prnt_child_1yr_immnztn,prnt_intd_cf_6to24mnth_child,prnt_anwmic_wmn,prnt_4_anc_vst_dlvry,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_wmn_rstg_drg_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Dec,Maharashtra,Nandurbar,30496,36445,1739,6753,11417,32060,349,8.24,64.85,39.03,18.33,1703,12107,30061,29455,33985,2224,16945,34647,76.57,71.45,86.76,85.01,98.09,83.55,16.43,78.93,14.89,10.45,91.76,90.37,66.56
Dec,Maharashtra,Nashik,60092,47623,5132,12578,13332,46592,633,6.51,39.52,18.97,17.95,3154,28523,94624,93101,103665,4211,39203,105444,74.9,72.76,89.74,88.29,98.31,89.3,38.34,84.75,8.65,12.76,93.84,92.65,71.04
Dec,Maharashtra,Osmanabad,21233,10824,954,3576,2556,11294,183,4.75,33.56,13.84,13.93,1123,9309,29355,29263,31232,1454,12283,31848,77.24,75.79,92.17,91.88,98.07,90.16,15.83,87.62,11.5,12.28,95.06,94.56,74.78
Dec,Maharashtra,Palghar,34581,33153,1025,5223,8257,30796,359,4.99,54.05,28.95,16.32,1848,12152,37296,38940,42848,2482,17210,43448,74.46,70.61,85.84,89.62,98.62,79.6,11.35,74.57,9.62,4.36,89.91,89.02,67.01
Dec,Maharashtra,Parbhani,15502,11556,1071,2761,2628,9333,230,5.4,38.04,13.95,21.42,1007,8631,26561,26510,29072,1256,11929,29592,80.18,72.35,89.76,89.59,98.24,85.94,16.21,82.4,10.2,8.75,92.34,91.88,71.54
Dec,Maharashtra,Pune,44703,22713,3869,10444,5967,28120,399,5.24,24.64,10.41,11.86,2979,25965,97788,100663,107371,3853,36024,108683,77.32,72.08,89.98,92.62,98.79,85.36,25.04,83.07,10.85,12.11,92.28,92.16,72.9
Dec,Maharashtra,Raigad,13202,6494,634,2134,1856,6785,193,3.15,22.38,8.62,12.76,1291,9715,30134,31310,33277,1695,13476,33665,76.17,72.09,89.51,93,98.85,81.87,29.15,80.24,10.37,13.51,91.05,91.03,70.26
Dec,Maharashtra,Ratnagiri,11760,5825,431,2046,1368,7422,126,4.25,30.13,13.72,15.67,697,5223,17175,18634,19366,908,7113,19520,76.76,73.43,87.99,95.46,99.21,87.16,35.15,81.41,13.22,9.7,94.26,94.41,76.38
Dec,Maharashtra,Sangli,16743,7249,1115,3750,1794,8302,166,4,19.69,7.57,9.9,1532,12171,40083,40389,43333,1978,17355,43800,77.45,70.13,91.51,92.21,98.93,82.74,14.04,81.38,12.9,7.25,88.93,88.74,67.42
Dec,Maharashtra,Satara,20475,10839,824,3033,1930,9639,200,2.98,24.21,8.25,10.6,1625,12595,41547,43040,44994,2161,17133,45414,75.2,73.51,91.49,94.77,99.08,87.21,33.46,86.64,15.66,14.42,94.99,94.75,74.17
Dec,Maharashtra,Sindhudurg,5214,4181,198,1054,830,3775,55,5.25,39.33,18.25,14.86,337,2311,7029,7791,8265,417,3259,8342,80.82,70.91,84.26,93.39,99.08,82.37,31.5,75.43,18.14,11.58,91.14,91.35,70.87
Dec,Maharashtra,Solapur,34767,19652,2239,5853,3860,18047,459,4.22,28.38,9.45,13.99,2931,22705,71362,72102,77906,3809,30733,78998,76.95,73.88,90.33,91.27,98.62,86.93,20.36,83.77,9.2,9.29,92.68,92.21,71.27
Dec,Maharashtra,Thane,40937,24124,3411,10585,7051,28793,427,7.24,33.62,16.52,18.41,2065,18149,66749,66487,73142,2642,24790,73943,78.16,73.21,90.27,89.92,98.92,87.56,16.6,84.46,13.27,10.78,93.32,93.19,72.87
Dec,Maharashtra,Wardha,11459,8542,878,2242,2480,8953,145,6.17,39.51,17.47,16.22,733,6529,18687,18947,20505,1041,8619,20859,70.41,75.75,89.59,90.83,98.3,84.69,23.53,83.67,16.28,14.19,94.62,93.96,77.65
Dec,Maharashtra,Washim,15051,9596,1062,2471,2369,8429,171,5.2,36.21,14.88,17.4,861,7234,20549,19786,22499,1143,9958,23029,75.33,72.65,89.23,85.92,97.7,85.27,25.86,82.07,14.75,16.23,92.24,91.09,72.29
Dec,Maharashtra,Yavatmal,25403,20703,2115,5208,5763,19126,338,6.35,39.89,17.61,16.99,1739,14935,42953,41667,46497,2308,20849,47402,75.35,71.63,90.61,87.9,98.09,82.81,18.45,80.74,15.45,11.55,88.75,87.89,69.82
