Month,district_n,no_enrolled,tot_elgb_wghd,tot_elgb_hght,no_wt,no_ht,no_wt_ht,WeightP,HeightP,HeightWeightP
Dec,Ratnagiri,8420050,6901010,6901010,6022016,5434704,5480482,71.52,64.54,65.09
Jan,Ratnagiri,8430108,6908248,6908248,6078510,5588206,5613680,72.1,66.29,66.59
Nov,Ratnagiri,8391098,6874408,6316518,5808730,4872208,5236364,69.22,58.06,62.4
Dec,Sangli,20495948,17071724,17071724,14128422,12793458,12902002,68.93,62.42,62.95
Jan,Sangli,20528384,17097482,17097482,14676972,13456382,13513092,71.5,65.55,65.83
Nov,Sangli,20427896,17001764,15426392,12672936,10574666,11390654,62.04,51.77,55.76
Dec,Satara,31431064,25873827,25873827,22580411,20591900,20810699,71.84,65.51,66.21
Jan,Satara,31482101,25928084,25928084,22924790,20509629,20591578,72.82,65.15,65.41
Nov,Satara,31608969,26036920,23653315,22092420,18311979,19784324,69.89,57.93,62.59
Dec,Sindhudurg,1933834,1573831,1573831,1236368,1163211,1168013,63.93,60.15,60.4
Jan,Sindhudurg,1945594,1583386,1583386,1333045,1269982,1271697,68.52,65.27,65.36
Nov,Sindhudurg,1933785,1573880,1436827,1263759,1106665,1193444,65.35,57.23,61.72
Dec,Solapur,51956382,43209707,43209707,35014031,28768822,28925258,67.39,55.37,55.67
Jan,Solapur,52091829,43324920,43324920,35727657,30579312,30658738,68.59,58.7,58.86
Nov,Solapur,52232863,43497664,39394239,34429359,26992760,29102079,65.92,51.68,55.72
Dec,Thane,46371588,38150928,38150928,29945448,26342958,26662980,64.58,56.81,57.5
Jan,Thane,46828782,38547264,38547264,31541556,28079274,28236180,67.36,59.96,60.3
Nov,Thane,45976632,37806204,34970856,29685456,24162282,25919298,64.57,52.55,56.37
Dec,Wardha,5275274,4351682,4351682,3796216,2929870,2933408,71.96,55.54,55.61
Jan,Wardha,5271446,4353538,4353538,3828000,2988740,2988450,72.62,56.7,56.69
Nov,Wardha,5286932,4361774,3914362,3824926,2397778,2578158,72.35,45.35,48.76
Dec,Washim,4412760,3654332,3654332,3193960,2971496,2992132,72.38,67.34,67.81
Jan,Washim,4404840,3655740,3655740,3265328,2990196,2998996,74.13,67.88,68.08
Nov,Washim,4389088,3632684,3250456,3135924,2671284,2917464,71.45,60.86,66.47
Dec,Yavatmal,22875825,18797205,18797205,14843325,12025650,12113640,64.89,52.57,52.95
Jan,Yavatmal,22850520,18814845,18814845,16279515,14301630,14353605,71.24,62.59,62.82
Nov,Yavatmal,23075010,18957120,16994460,14688975,10963260,12012210,63.66,47.51,52.06
