month_n,district_n,stunting_percent,wasting_percent,underweight_percent,low_birth_weight_percent,prnt_child_1yr_cmpltd_immunzt,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_intd_cf_past30d,prnt_chld_6to24mnths_intd_cf,prnt_anwmic_wmn,prnt_tenatus_cmpltd,prnt_wmn_1_anc_vst_dlvry,prnt_wmn_4_anc_vst_dlvry,prnt_wmn_rstg_drg_prgncy,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Jan,Akola,31.32912,5.16438,11.15999,18.98734,10.99,77.85,74.39,83.86,90.8,16.3,39.02,70.98,12.77,92.51,92.91,74.2
Jan,Amravati,43.05399,5.75842,20.00795,16.80952,33.01,76.58,72.22,83.44,91.77,23.63,44.95,79.11,24.9,91.14,91.8,73.02
Jan,Aurangabad,36.88628,5.2401,16.30722,20.21704,17.47,80.5,73.72,88.34,93.92,8.55,35.73,65.2,10.51,92.19,93.14,73.37
Jan,Beed,32.82603,5.9406,13.27853,20.65796,11.11,75.33,74.79,87.07,92.77,7.13,29.58,64.13,9.21,92.01,92.8,73.65
Jan,Bhandara,32.9664,4.29883,11.45407,13.09963,27.38,76.94,77.84,86.95,93.73,26.02,52.93,85.99,27.2,94.99,95.5,76.67
Jan,Buldana,32.4562,5.10118,13.33989,11.86024,30.9,85.63,77.18,88.83,94.98,13.35,40.44,70.92,20.2,95.18,95.81,75.98
Jan,Chandrapur,41.34014,4.69944,16.30526,19.62071,30.18,76.77,75.89,86.63,95.58,20.98,43.01,74.74,20.73,94.66,95.45,76.24
Jan,Dhule,39.59604,5.12079,16.07059,20.46093,19.13,81.7,74.3,88.83,92.95,9.68,34.34,63.45,9.15,91.89,93.15,73.57
Jan,Gadchiroli,51.87058,8.03421,30.26281,19.96105,15.11,75.87,71.01,79.35,89.09,22.09,42.9,74.53,14.8,89.79,90.98,69.03
Jan,Gondia,34.98873,5.91446,16.25221,16.16304,26.16,80.29,77.81,89.19,95.72,24.97,48.64,80.91,23.55,95.34,95.44,77.39
Jan,Hingoli,35.55275,6.1627,15.21003,19.27346,10.36,80.4,76.16,89.27,93.62,14.62,37.1,72.56,11.49,92.16,92.87,74.5
Jan,Jalgaon,29.60294,5.29744,13.51901,14.74316,61.1,81.06,74.16,89.96,94.96,11.4,50.8,76.9,30.13,93.84,94.79,74.49
Jan,Jalna,32.10634,5.73978,11.81499,19.47262,11.92,81.06,75.17,88.4,93.44,9.04,33.36,67.68,11.64,93.6,94.52,73.85
Jan,Kolhapur,22.56756,3.72021,9.54162,12.17765,27.32,80.67,75.96,91.04,96.84,12.13,39.56,69.38,8.96,95.83,96.31,77.73
Jan,Latur,31.0435,4.82383,11.32754,19.89215,16.43,75.87,73.3,83.71,92.35,12.54,36.6,72.33,14.2,91.17,92.15,73.02
