"month_n","state_n","district_n","mdrtly_stntd","svrly_stntd","svr_wstg","mdrtly_wstd","svrly_uw","mdrtly_uw","nb_lbw","svr_wasting_percent","wasting_percent","stunting_percent","svrly_stunted_percent","underweight_percent","svrly_underweight_percent","low_birth_weight_percent"
"Jan","Maharashtra","Gondia",19572,9934,1185,3799,2747,11481,230,1.41,5.91,34.99,11.78,16.25,3.14,16.16
"Jan","Maharashtra","Hingoli",14130,10112,1285,2911,2571,9914,191,1.89,6.16,35.55,14.83,15.21,3.13,19.27
"Jan","Maharashtra","Jalgaon",44134,20610,2393,9179,5481,26230,442,1.10,5.30,29.60,9.42,13.52,2.34,14.74
"Jan","Maharashtra","Jalna",22680,16570,1843,5155,3179,12868,288,1.51,5.74,32.11,13.55,11.81,2.34,19.47
"Jan","Maharashtra","Kolhapur",28181,11138,1197,5280,3159,14805,255,0.69,3.72,22.57,6.39,9.54,1.68,12.18
"Jan","Maharashtra","Latur",17707,10912,1322,3118,2691,10359,332,1.44,4.82,31.04,11.84,11.33,2.34,19.89
"Jan","Maharashtra","Mumbai City",6139,3531,929,2488,1369,5359,70,2.79,10.26,28.86,10.54,15.98,3.25,18.37
"Jan","Maharashtra","Mumbai Suburban",33490,19466,4257,11852,6617,27520,319,2.74,10.37,33.94,12.48,17.05,3.30,16.60
"Jan","Maharashtra","Nagpur",29620,17269,2309,6060,4224,19027,451,1.58,5.74,32.08,11.82,12.98,2.36,16.62
"Jan","Maharashtra","Nanded",28432,19689,2307,5322,4433,17600,479,1.46,4.84,30.43,12.45,10.97,2.21,16.54
"Jan","Maharashtra","Nandurbar",32700,35658,1329,6450,10757,32000,292,1.23,7.21,63.23,32.98,37.50,9.43,17.43
"Jan","Maharashtra","Nashik",62593,48282,5196,12753,13328,47159,629,1.81,6.25,38.59,16.80,18.55,4.09,17.24
"Jan","Maharashtra","Osmanabad",20457,9019,488,2796,2030,10318,149,0.51,3.45,30.93,9.46,12.40,2.04,11.72
"Jan","Maharashtra","Palghar",37043,34168,736,4405,8233,31933,383,0.55,3.82,52.86,25.36,27.43,5.62,18.22
"Jan","Maharashtra","Parbhani",15157,11158,817,2423,2330,8930,237,1.16,4.60,37.32,15.83,13.23,2.74,22.55
"Jan","Maharashtra","Pune",48707,22880,3514,10477,5426,27007,386,1.08,4.32,22.07,7.05,9.20,1.54,11.39
"Jan","Maharashtra","Raigad",12894,6161,519,1892,1692,6539,177,0.59,2.75,21.75,7.03,8.20,1.69,13.59
