"month_n","state_n","district_n","no_chld_bf_at_birth","no_chld_appr_cf","no_chld_excly_bf","no_chld_rcvg_cf_wid_adq_dt_dvsty","no_chld_intd_cf_past30d","no_chld_cf_wid_adq_dt_qnty","tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg","no_of_chld_cmpltd_1yr_immunzt","total_no_chld_enrld_cas_born_lstmnth","total_no_chld_0t6mnths_enrld_cas","no_chld_appr_cf","prnt_chld_bf_at_birth","prnt_chld_excly_bf","prnt_chld_rcvg_cf_wid_adq_dt_dvsty","prnt_chld_cf_wid_adq_dt_qnty","per_no_chld_cf_wid_appr_hndwhg_bfr_fdg","prnt_chld_intd_cf_p30d","prnt_child_1yr_immnztn","prnt_intd_cf_6to24mnth_child"
"Jan","Maharashtra","Washim",882,23605,7178,21238,3412,20352,23107,20261,1163,9728,23605,75.84,73.79,89.97,86.22,97.89,86.71,26.95,84.16
"Jan","Maharashtra","Yavatmal",1912,48843,15259,44504,6963,42682,47929,32483,2451,20793,48843,78.01,73.39,91.12,87.39,98.13,84.12,19.75,83.15
"Nov","Maharashtra","Ahmadnagar",3545,84457,26205,77765,12545,77953,83203,66718,4571,33750,84457,77.55,77.64,92.08,92.30,98.52,88.42,24.46,87.05
"Nov","Maharashtra","Akola",1159,26934,8535,23206,3750,22468,26470,9191,1588,11996,26934,72.98,71.15,86.16,83.42,98.28,77.75,9.52,73.51
"Nov","Maharashtra","Amravati",1896,45636,13538,40026,6463,39352,44711,50724,2552,19231,45636,74.29,70.40,87.71,86.23,97.97,80.25,32.57,77.45
"Nov","Maharashtra","Aurangabad",2576,68272,19935,61513,9941,60237,67022,37232,3328,27862,68272,77.40,71.55,90.10,88.23,98.17,83.78,15.93,81.79
"Nov","Maharashtra","Beed",1941,49605,15207,44402,6912,44783,48675,18597,2748,20669,49605,70.63,73.57,89.51,90.28,98.13,83.51,10.41,79.89
"Nov","Maharashtra","Bhandara",1094,20983,6878,18627,2777,18867,20599,17467,1493,9015,20983,73.28,76.30,88.77,89.92,98.17,83.04,24.81,80.38
"Nov","Maharashtra","Buldana",2060,50279,15679,44241,7290,43952,49544,49573,2500,20206,50279,82.40,77.60,87.99,87.42,98.54,87.49,30.23,82.47
"Nov","Maharashtra","Chandrapur",1504,35364,10958,32402,4522,31970,34864,34148,2006,14434,35364,74.98,75.92,91.62,90.40,98.59,85.39,29.32,86.27
"Nov","Maharashtra","Dhule",1886,42467,13816,37504,6320,36038,41828,25997,2345,18744,42467,80.43,73.71,88.31,84.86,98.50,83.36,17.97,78.58
"Nov","Maharashtra","Gadchiroli",1052,20605,6591,17947,2489,17370,20205,9914,1544,9903,20605,68.13,66.56,87.10,84.30,98.06,76.16,13.20,71.15
