"month_n","state_n","district_n","block_n","no_anemic_wmn","no_pregnant_women","no_tenatus_cmpltd","no_wmn_rstg_drg_prgncy","no_wmn_etg_xtr_ml_drg_prgncy","no_trmstr_3wmn_cnsld_imdtbf","no_wmn_4_anc_vst_dlvry","no_wmn_1_anc_vst_dlvry","prnt_anwmic_wmn","prnt_tenatus_wmn","prnt_4_anc_vst_dlvry","prnt_1_anc_vst_dlvry","prnt_wmn_etg_xtr_ml_drng_prgncy","prnt_wmn_rstg_drg_prgncy","prnt_trmstr_3wmn_cnsld_imdtbf"
"Nov","Maharashtra","Washim","Manora",107,1154,507,1066,1088,839,131,747,9.27,43.93,11.35,64.73,94.28,92.37,72.70
"Nov","Maharashtra","Washim","Risod",105,1061,366,885,884,654,33,692,9.90,34.50,3.11,65.22,83.32,83.41,61.64
"Nov","Maharashtra","Washim","Washim",221,1052,474,1014,1022,823,188,785,21.01,45.06,17.87,74.62,97.15,96.39,78.23
"Nov","Maharashtra","Yavatmal","Arni",114,1023,523,925,924,735,105,695,11.14,51.12,10.26,67.94,90.32,90.42,71.85
"Nov","Maharashtra","Yavatmal","Babulgaon",110,443,227,412,415,318,78,331,24.83,51.24,17.61,74.72,93.68,93.00,71.78
"Nov","Maharashtra","Yavatmal","Darwha",211,998,556,957,964,710,249,761,21.14,55.71,24.95,76.25,96.59,95.89,71.14
"Nov","Maharashtra","Yavatmal","Digras",147,751,354,711,707,530,79,505,19.57,47.14,10.52,67.24,94.14,94.67,70.57
"Nov","Maharashtra","Yavatmal","Ghatanji",90,678,304,653,657,526,102,456,13.27,44.84,15.04,67.26,96.90,96.31,77.58
"Nov","Maharashtra","Yavatmal","Kalamb",86,543,227,461,471,349,47,404,15.84,41.80,8.66,74.40,86.74,84.90,64.27
"Nov","Maharashtra","Yavatmal","Kelapur",78,674,338,622,632,506,52,467,11.57,50.15,7.72,69.29,93.77,92.28,75.07
"Nov","Maharashtra","Yavatmal","Mahagaon",166,1389,623,1169,1182,929,117,791,11.95,44.85,8.42,56.95,85.10,84.16,66.88
"Nov","Maharashtra","Yavatmal","Maregaon",66,345,157,323,326,239,58,246,19.13,45.51,16.81,71.30,94.49,93.62,69.28
"Nov","Maharashtra","Yavatmal","Ner",119,664,329,611,634,481,126,562,17.92,49.55,18.98,84.64,95.48,92.02,72.44
"Nov","Maharashtra","Yavatmal","Pusad",153,1782,521,1240,1250,961,49,963,8.59,29.24,2.75,54.04,70.15,69.58,53.93
"Nov","Maharashtra","Yavatmal","Ralegaon",82,555,196,454,462,318,75,399,14.77,35.32,13.51,71.89,83.24,81.80,57.30
"Nov","Maharashtra","Yavatmal","Umarkhed",149,1657,486,1135,1164,811,52,874,8.99,29.33,3.14,52.75,70.25,68.50,48.94
"Nov","Maharashtra","Yavatmal","Wani",132,681,335,616,616,455,179,509,19.38,49.19,26.28,74.74,90.46,90.46,66.81
"Nov","Maharashtra","Yavatmal","Yavatmal",413,2459,980,2237,2235,1780,218,1749,16.80,39.85,8.87,71.13,90.89,90.97,72.39
"Nov","Maharashtra","Yavatmal","Zari-Jamani",60,368,141,342,344,260,33,271,16.30,38.32,8.97,73.64,93.48,92.93,70.65
