"month_n","state_n","district_n","block_n","no_anemic_wmn","no_pregnant_women","no_tenatus_cmpltd","no_wmn_rstg_drg_prgncy","no_wmn_etg_xtr_ml_drg_prgncy","no_trmstr_3wmn_cnsld_imdtbf","no_wmn_4_anc_vst_dlvry","no_wmn_1_anc_vst_dlvry","prnt_anwmic_wmn","prnt_tenatus_wmn","prnt_4_anc_vst_dlvry","prnt_1_anc_vst_dlvry","prnt_wmn_etg_xtr_ml_drng_prgncy","prnt_wmn_rstg_drg_prgncy","prnt_trmstr_3wmn_cnsld_imdtbf"
"Nov","Maharashtra","Parbhani","Pathri",55,655,240,580,579,477,102,472,8.40,36.64,15.57,72.06,88.40,88.55,72.82
"Nov","Maharashtra","Parbhani","Purna",112,852,314,768,788,580,54,524,13.15,36.85,6.34,61.50,92.49,90.14,68.08
"Nov","Maharashtra","Parbhani","Sailu",119,728,309,675,677,535,86,495,16.35,42.45,11.81,67.99,92.99,92.72,73.49
"Nov","Maharashtra","Parbhani","Sonpeth",32,389,111,293,311,261,30,175,8.23,28.53,7.71,44.99,79.95,75.32,67.10
"Nov","Maharashtra","Pune","Ambegaon",104,1019,288,730,728,547,48,480,10.21,28.26,4.71,47.11,71.44,71.64,53.68
"Nov","Maharashtra","Pune","Baramati",115,1867,591,1639,1641,1343,138,1155,6.16,31.66,7.39,61.86,87.90,87.79,71.93
"Nov","Maharashtra","Pune","Bhor",67,750,256,644,645,509,52,413,8.93,34.13,6.93,55.07,86.00,85.87,67.87
"Nov","Maharashtra","Pune","Daund",160,1820,861,1522,1522,1170,43,845,8.79,47.31,2.36,46.43,83.63,83.63,64.29
"Nov","Maharashtra","Pune","Haveli",813,6222,2194,5658,5651,4467,761,4150,13.07,35.26,12.23,66.70,90.82,90.94,71.79
"Nov","Maharashtra","Pune","Indapur",133,1998,497,1758,1758,1348,91,886,6.66,24.87,4.55,44.34,87.99,87.99,67.47
"Nov","Maharashtra","Pune","Junnar",229,1509,700,1390,1403,1075,270,1077,15.18,46.39,17.89,71.37,92.98,92.11,71.24
"Nov","Maharashtra","Pune","Khed",242,1831,605,1610,1607,1250,60,1103,13.22,33.04,3.28,60.24,87.77,87.93,68.27
"Nov","Maharashtra","Pune","Mawal",123,1555,466,1432,1442,1105,107,980,7.91,29.97,6.88,63.02,92.73,92.09,71.06
"Nov","Maharashtra","Pune","Mulshi",45,805,221,602,607,477,10,436,5.59,27.45,1.24,54.16,75.40,74.78,59.25
"Nov","Maharashtra","Pune","Pune",49,494,154,477,476,392,38,410,9.92,31.17,7.69,83.00,96.36,96.56,79.35
"Nov","Maharashtra","Pune","Pune City",377,3241,866,3080,3072,2412,310,2204,11.63,26.72,9.56,68.00,94.79,95.03,74.42
"Nov","Maharashtra","Pune","Purandhar",73,804,317,770,780,668,93,656,9.08,39.43,11.57,81.59,97.01,95.77,83.08
"Nov","Maharashtra","Pune","Shirur",156,1667,510,1552,1557,1276,93,1055,9.36,30.59,5.58,63.29,93.40,93.10,76.54
"Nov","Maharashtra","Pune","Velhe",12,167,51,151,152,115,4,115,7.19,30.54,2.40,68.86,91.02,90.42,68.86
"Nov","Maharashtra","Raigad","Alibag",90,763,345,710,707,513,103,479,11.80,45.22,13.50,62.78,92.66,93.05,67.23
"Nov","Maharashtra","Raigad","Karjat",146,1170,492,1014,1008,704,108,787,12.48,42.05,9.23,67.26,86.15,86.67,60.17
"Nov","Maharashtra","Raigad","Khalapur",59,812,277,693,691,502,76,499,7.27,34.11,9.36,61.45,85.10,85.34,61.82
"Nov","Maharashtra","Raigad","Mahad",85,582,241,530,530,412,72,420,14.60,41.41,12.37,72.16,91.07,91.07,70.79
"Nov","Maharashtra","Raigad","Mangaon",53,564,202,490,487,344,22,284,9.40,35.82,3.90,50.35,86.35,86.88,60.99
"Nov","Maharashtra","Raigad","Mhasla",11,159,52,156,153,133,11,87,6.92,32.70,6.92,54.72,96.23,98.11,83.65
"Nov","Maharashtra","Raigad","Murud",28,258,113,252,252,216,20,182,10.85,43.80,7.75,70.54,97.67,97.67,83.72
"Nov","Maharashtra","Raigad","Panvel",161,1989,963,1747,1757,1389,227,1366,8.09,48.42,11.41,68.68,88.34,87.83,69.83
"Nov","Maharashtra","Raigad","Pen",82,738,371,702,707,557,145,587,11.11,50.27,19.65,79.54,95.80,95.12,75.47
"Nov","Maharashtra","Raigad","Poladpur",9,94,42,87,85,59,0,64,9.57,44.68,0.00,68.09,90.43,92.55,62.77
"Nov","Maharashtra","Raigad","Roha",47,587,234,483,477,397,22,328,8.01,39.86,3.75,55.88,81.26,82.28,67.63
"Nov","Maharashtra","Raigad","Shrivardhan",44,313,170,303,304,241,48,266,14.06,54.31,15.34,84.98,97.12,96.81,77.00
"Nov","Maharashtra","Raigad","Sudhagad",24,297,106,249,250,187,0,137,8.08,35.69,0.00,46.13,84.18,83.84,62.96
"Nov","Maharashtra","Raigad","Tala",8,90,30,80,78,56,4,49,8.89,33.33,4.44,54.44,86.67,88.89,62.22
"Nov","Maharashtra","Raigad","Uran",65,715,292,643,645,509,64,442,9.09,40.84,8.95,61.82,90.21,89.93,71.19
"Nov","Maharashtra","Ratnagiri","Chiplun",98,785,389,730,734,581,83,571,12.48,49.55,10.57,72.74,93.50,92.99,74.01
"Nov","Maharashtra","Ratnagiri","Dapoli",98,525,264,492,493,386,19,359,18.67,50.29,3.62,68.38,93.90,93.71,73.52
"Nov","Maharashtra","Ratnagiri","Guhagar",60,410,230,363,363,281,34,305,14.63,56.10,8.29,74.39,88.54,88.54,68.54
"Nov","Maharashtra","Ratnagiri","Khed",75,542,243,499,506,409,66,372,13.84,44.83,12.18,68.63,93.36,92.07,75.46
