"month_n","state_n","district_n","mdrtly_stntd","svrly_stntd","svrly_wstd","mdrtly_wstd","svrly_uw","mdrtly_uw","nb_lbw","wstd_chld","stntd_chld","uw_chld","svrly_wasting_percent","wasting_percent","svrly_stunting_percent","stunting_percent","svrly_underweight_percent","underweight_percent","low_birth_weight_percent"
"Jan","Maharashtra","Beed",26107,17527,2370,5507,3597,15672,427,7877,43634,19269,1.79,5.94,13.19,32.83,2.48,13.28,20.66
"Jan","Maharashtra","Bhandara",14249,8212,672,2254,1595,6747,142,2926,22461,8342,0.99,4.30,12.05,32.97,2.19,11.45,13.10
"Jan","Maharashtra","Buldana",25159,13817,1195,4923,3465,17544,241,6118,38976,21009,1.00,5.10,11.51,32.46,2.20,13.34,11.86
"Jan","Maharashtra","Chandrapur",25270,19348,1294,3772,3580,14978,269,5066,44618,18558,1.20,4.70,17.93,41.34,3.15,16.31,19.62
"Jan","Maharashtra","Dhule",26858,20074,1441,4617,4780,17377,364,6058,46932,22157,1.22,5.12,16.94,39.60,3.47,16.07,20.46
"Jan","Maharashtra","Gadchiroli",17418,13459,1131,3641,4437,15288,205,4772,30877,19725,1.90,8.03,22.61,51.87,6.81,30.26,19.96
"Jan","Maharashtra","Gondia",19572,9934,1185,3799,2747,11481,230,4984,29506,14228,1.41,5.91,11.78,34.99,3.14,16.25,16.16
"Jan","Maharashtra","Hingoli",14130,10112,1285,2911,2571,9914,191,4196,24242,12485,1.89,6.16,14.83,35.55,3.13,15.21,19.27
"Jan","Maharashtra","Jalgaon",44134,20610,2393,9179,5481,26230,442,11572,64744,31711,1.10,5.30,9.42,29.60,2.34,13.52,14.74
"Jan","Maharashtra","Jalna",22680,16570,1843,5155,3179,12868,288,6998,39250,16047,1.51,5.74,13.55,32.11,2.34,11.81,19.47
"Jan","Maharashtra","Kolhapur",28181,11138,1197,5280,3159,14805,255,6477,39319,17964,0.69,3.72,6.39,22.57,1.68,9.54,12.18
"Jan","Maharashtra","Latur",17707,10912,1322,3118,2691,10359,332,4440,28619,13050,1.44,4.82,11.84,31.04,2.34,11.33,19.89
"Jan","Maharashtra","Mumbai City",6139,3531,929,2488,1369,5359,70,3417,9670,6728,2.79,10.26,10.54,28.86,3.25,15.98,18.37
"Jan","Maharashtra","Mumbai Suburban",33490,19466,4257,11852,6617,27520,319,16109,52956,34137,2.74,10.37,12.48,33.94,3.30,17.05,16.60
"Jan","Maharashtra","Nagpur",29620,17269,2309,6060,4224,19027,451,8369,46889,23251,1.58,5.74,11.82,32.08,2.36,12.98,16.62
"Jan","Maharashtra","Nanded",28432,19689,2307,5322,4433,17600,479,7629,48121,22033,1.46,4.84,12.45,30.43,2.21,10.97,16.54
"Jan","Maharashtra","Nandurbar",32700,35658,1329,6450,10757,32000,292,7779,68358,42757,1.23,7.21,32.98,63.23,9.43,37.50,17.43
"Jan","Maharashtra","Nashik",62593,48282,5196,12753,13328,47159,629,17949,110875,60487,1.81,6.25,16.80,38.59,4.09,18.55,17.24
"Jan","Maharashtra","Osmanabad",20457,9019,488,2796,2030,10318,149,3284,29476,12348,0.51,3.45,9.46,30.93,2.04,12.40,11.72
"Jan","Maharashtra","Palghar",37043,34168,736,4405,8233,31933,383,5141,71211,40166,0.55,3.82,25.36,52.86,5.62,27.43,18.22
"Jan","Maharashtra","Parbhani",15157,11158,817,2423,2330,8930,237,3240,26315,11260,1.16,4.60,15.83,37.32,2.74,13.23,22.55
"Jan","Maharashtra","Pune",48707,22880,3514,10477,5426,27007,386,13991,71587,32433,1.08,4.32,7.05,22.07,1.54,9.20,11.39
"Jan","Maharashtra","Raigad",12894,6161,519,1892,1692,6539,177,2411,19055,8231,0.59,2.75,7.03,21.75,1.69,8.20,13.59
"Jan","Maharashtra","Ratnagiri",11962,5453,332,1863,1305,7242,118,2195,17415,8547,0.56,3.68,9.12,29.13,2.02,13.22,14.75
"Jan","Maharashtra","Sangli",17107,6871,888,3457,1644,8604,196,4345,23978,10248,0.70,3.41,5.39,18.80,1.19,7.40,11.32
"Jan","Maharashtra","Satara",19643,9935,596,2597,1832,9409,200,3193,29578,11241,0.47,2.50,7.76,23.11,1.29,7.89,11.76
"Jan","Maharashtra","Sindhudurg",5664,4308,167,1133,855,3956,62,1300,9972,4811,0.64,5.01,16.56,38.33,3.14,17.68,18.24
"Jan","Maharashtra","Solapur",35606,19145,1799,5714,3535,17307,399,7513,54751,20842,0.89,3.70,9.42,26.94,1.49,8.81,13.44
"Jan","Maharashtra","Thane",43355,23907,3225,10948,7094,29898,367,14173,67262,36992,1.58,6.93,11.67,32.83,3.10,16.18,17.48
"Jan","Maharashtra","Wardha",11722,8659,728,2054,2356,8777,165,2782,20381,11133,1.41,5.40,16.79,39.52,3.57,16.87,17.12
"Jan","Maharashtra","Washim",14985,8897,506,1725,2008,7781,175,2231,23882,9789,0.74,3.27,13.04,35.01,2.71,13.19,17.80
"Jan","Maharashtra","Yavatmal",30013,22271,1642,5451,5371,19087,360,7093,52284,24458,1.20,5.19,16.27,38.20,3.46,15.77,16.90
"Nov","Maharashtra","Ahmadnagar",38634,23349,2485,8012,6127,24283,489,10497,61983,30410,1.02,4.30,9.55,25.35,2.38,11.80,12.41
"Nov","Maharashtra","Akola",13171,9326,1265,2661,2088,7850,197,3926,22497,9938,1.96,6.07,14.39,34.70,2.76,13.12,14.91
"Nov","Maharashtra","Amravati",29860,23214,2610,6111,6573,22977,364,8721,53074,29550,2.27,7.59,20.16,46.10,5.03,22.61,16.58
"Nov","Maharashtra","Aurangabad",41460,27146,3441,8835,8247,28625,632,12276,68606,36872,1.94,6.92,15.29,38.63,4.21,18.83,22.69
"Nov","Maharashtra","Beed",26292,19184,2633,6036,4108,15964,405,8669,45476,20072,2.03,6.67,14.73,34.92,2.98,14.56,17.51
"Nov","Maharashtra","Bhandara",13439,8779,905,2494,1945,7374,196,3399,22218,9319,1.48,5.54,14.28,36.14,2.87,13.77,14.76
"Nov","Maharashtra","Buldana",23549,15348,2443,5690,4866,19958,341,8133,38897,24824,2.23,7.44,14.02,35.52,3.18,16.23,15.62
"Nov","Maharashtra","Chandrapur",24608,20034,1962,4233,4257,15990,357,6195,44642,20247,1.89,5.96,19.24,42.88,3.80,18.05,21.02
"Nov","Maharashtra","Dhule",23510,20539,1898,4890,5487,17820,412,6788,44049,23307,1.93,6.89,20.80,44.61,4.50,19.12,19.90
"Nov","Maharashtra","Gadchiroli",16747,13714,1445,4225,5261,15817,261,5670,30461,21078,2.56,10.05,24.24,53.84,8.37,33.52,19.86
"Nov","Maharashtra","Gondia",16712,9907,1323,3296,2544,9669,283,4619,26619,12213,1.68,5.87,12.58,33.80,3.00,14.41,17.74
"Nov","Maharashtra","Hingoli",10849,8849,1188,2690,2916,9631,245,3878,19698,12547,2.42,7.91,18.01,40.08,4.55,19.58,20.87
"Nov","Maharashtra","Jalgaon",45342,26408,3839,10410,6882,29411,517,14249,71750,36293,1.78,6.61,12.23,33.22,2.92,15.41,14.89
"Nov","Maharashtra","Jalna",22363,17523,3035,5980,4281,14227,412,9015,39886,18508,2.65,7.89,15.27,34.76,3.24,13.99,23.04
"Nov","Maharashtra","Kolhapur",27093,11925,1726,5873,3560,14955,330,7599,39018,18515,1.03,4.54,7.12,23.31,1.94,10.09,13.64
"Nov","Maharashtra","Latur",16965,11695,1986,3711,3425,11332,386,5697,28660,14757,2.24,6.41,13.13,32.18,3.02,13.01,18.58
"Nov","Maharashtra","Mumbai City",5900,3413,1068,2418,1382,4999,59,3486,9313,6381,3.37,11.00,10.69,29.18,3.49,16.12,12.61
"Nov","Maharashtra","Mumbai Suburban",30311,18373,3753,11613,6667,25231,364,15366,48684,31898,2.57,10.53,12.53,33.21,3.57,17.06,16.78
"Nov","Maharashtra","Nagpur",26577,17333,2715,6648,4888,19727,504,9363,43910,24615,2.08,7.18,13.25,33.56,2.87,14.46,16.58
"Nov","Maharashtra","Nanded",26754,20396,3106,6225,5813,19303,622,9331,47150,25116,2.14,6.44,14.02,32.42,3.05,13.19,17.02
"Nov","Maharashtra","Nandurbar",30138,39513,2586,7315,12517,32593,384,9901,69651,45110,2.52,9.66,38.44,67.75,11.47,41.32,20.52
"Nov","Maharashtra","Nashik",58161,48075,5373,12703,14292,47802,641,18076,106236,62094,2.06,6.92,18.37,40.59,4.57,19.85,17.01
"Nov","Maharashtra","Osmanabad",20011,10757,1511,3981,2938,11430,260,5492,30768,14368,1.69,6.15,12.03,34.40,3.08,15.05,16.88
"Nov","Maharashtra","Palghar",33747,33941,1254,5952,9250,31159,344,7206,67688,40409,1.01,5.79,27.24,54.32,6.96,30.39,16.10
"Nov","Maharashtra","Parbhani",14982,11097,1223,2785,2761,9261,265,4008,26079,12022,1.77,5.81,16.04,37.70,3.31,14.40,21.15
"Nov","Maharashtra","Pune",41589,21479,3770,10385,6254,27576,409,14155,63068,33830,1.53,5.73,8.68,25.49,2.07,11.21,12.12
"Nov","Maharashtra","Raigad",13315,6957,731,2412,2039,6986,209,3143,20272,9025,0.86,3.70,8.18,23.83,2.13,9.44,12.98
"Nov","Maharashtra","Ratnagiri",11020,5574,409,1933,1401,7128,94,2342,16594,8529,0.73,4.20,9.99,29.75,2.27,13.80,11.55
"Nov","Maharashtra","Sangli",15430,7036,1143,3535,1789,8027,203,4678,22466,9816,1.06,4.35,6.54,20.89,1.50,8.21,11.48
"Nov","Maharashtra","Satara",20741,11890,1106,3281,2169,10175,256,4387,32631,12344,0.90,3.57,9.67,26.53,1.58,9.00,12.64
"Nov","Maharashtra","Sindhudurg",5386,4279,234,1118,897,3954,63,1352,9665,4851,0.96,5.55,17.52,39.58,3.48,18.81,17.50
"Nov","Maharashtra","Solapur",35730,20579,2576,6455,4575,19436,549,9031,56309,24011,1.34,4.69,10.67,29.18,2.01,10.53,14.46
"Nov","Maharashtra","Thane",39470,24124,3660,10817,7372,28585,454,14477,63594,35957,1.95,7.71,12.82,33.80,3.43,16.72,17.71
"Nov","Maharashtra","Wardha",10189,7851,928,2143,2618,9121,198,3071,18040,11739,2.09,6.91,17.64,40.53,3.97,17.80,17.68
"Nov","Maharashtra","Washim",15209,9713,1212,2987,2767,9045,198,4199,24922,11812,1.83,6.33,14.63,37.54,3.88,16.57,18.07
"Nov","Maharashtra","Yavatmal",25702,20997,2193,5437,6511,19854,441,7630,46699,26365,1.92,6.67,18.33,40.76,4.65,18.85,18.41
