"month_n","state_n","district_n","no_anemic_wmn","no_pregnant_women","no_tenatus_cmpltd","no_wmn_rstg_drg_prgncy","no_wmn_etg_xtr_ml_drg_prgncy","no_trmstr_3wmn_cnsld_imdtbf","no_wmn_4_anc_vst_dlvry","no_wmn_1_anc_vst_dlvry","prnt_anwmic_wmn","prnt_tenatus_wmn","prnt_4_anc_vst_dlvry","prnt_1_anc_vst_dlvry","prnt_wmn_etg_xtr_ml_drng_prgncy","prnt_wmn_rstg_drg_prgncy","prnt_trmstr_3wmn_cnsld_imdtbf"
"Nov","Maharashtra","Palghar",1293,13316,5001,11308,11426,8416,408,6805,9.71,37.56,3.06,51.10,85.81,84.92,63.20
"Nov","Maharashtra","Parbhani",876,8767,3225,7895,7927,6254,721,5460,9.99,36.79,8.22,62.28,90.42,90.05,71.34
"Nov","Maharashtra","Pune",2698,25749,8577,23015,23041,18154,2118,15965,10.48,33.31,8.23,62.00,89.48,89.38,70.50
"Nov","Maharashtra","Raigad",912,9131,3930,8139,8131,6219,922,5977,9.99,43.04,10.10,65.46,89.05,89.14,68.11
"Nov","Maharashtra","Ratnagiri",694,5076,2477,4729,4724,3718,520,3616,13.67,48.80,10.24,71.24,93.07,93.16,73.25
"Nov","Maharashtra","Sangli",1527,12804,4193,10724,10745,8280,681,7651,11.93,32.75,5.32,59.75,83.92,83.76,64.67
"Nov","Maharashtra","Satara",1908,12740,5465,11655,11688,9247,1357,9007,14.98,42.90,10.65,70.70,91.74,91.48,72.58
"Nov","Maharashtra","Sindhudurg",419,2343,1227,2110,2106,1687,241,1643,17.88,52.37,10.29,70.12,89.88,90.06,72.00
"Nov","Maharashtra","Solapur",2074,22988,8136,20634,20720,16077,1740,14472,9.02,35.39,7.57,62.95,90.13,89.76,69.94
"Nov","Maharashtra","Thane",2159,17138,6850,15823,15833,12705,1451,12466,12.60,39.97,8.47,72.74,92.39,92.33,74.13
"Nov","Maharashtra","Wardha",1046,6169,2783,5783,5824,4595,560,4671,16.96,45.11,9.08,75.72,94.41,93.74,74.49
"Nov","Maharashtra","Washim",1065,7295,3015,6570,6627,5170,848,5067,14.60,41.33,11.62,69.46,90.84,90.06,70.87
"Nov","Maharashtra","Yavatmal",2176,15010,6297,12868,12983,9908,1619,9983,14.50,41.95,10.79,66.51,86.50,85.73,66.01
