"month_n","state_n","district_n","sub_district","no_chld_bf_at_birth","no_chld_appr_cf","no_chld_excly_bf","no_chld_rcvg_cf_wid_adq_dt_dvsty","no_chld_intd_cf_past30d","no_chld_cf_wid_adq_dt_qnty","tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg","no_of_chld_cmpltd_1yr_immunzt","total_no_chld_enrld_cas_born_lstmnth","total_no_chld_0t6mnths_enrld_cas","no_chld_appr_cf","prnt_chld_bf_at_birth","prnt_chld_excly_bf","prnt_chld_rcvg_cf_wid_adq_dt_dvsty","prnt_chld_cf_wid_adq_dt_qnty","per_no_chld_cf_wid_appr_hndwhg_bfr_fdg","prnt_chld_intd_cf_p30d","prnt_child_1yr_immnztn","prnt_intd_cf_6to24mnth_child"
"Dec","Maharashtra","Amravati","Amravati",376,11336,3144,10275,1633,9658,11192,11961,457,4228,11336,82.28,74.36,90.64,85.20,98.73,89.97,32.52,84.90
"Dec","Maharashtra","Amravati","Anjangaon Surji",45,1658,472,1460,235,1431,1641,2323,64,636,1658,70.31,74.21,88.06,86.31,98.97,88.01,44.55,84.20
"Dec","Maharashtra","Amravati","Bhatkuli",61,1830,545,1564,254,1630,1801,2910,86,717,1830,70.93,76.01,85.46,89.07,98.42,85.81,48.89,80.74
"Dec","Maharashtra","Amravati","Chandurbazar",138,3315,1051,2843,462,2863,3219,3674,177,1408,3315,77.97,74.64,85.76,86.37,97.10,82.06,33.94,80.42
"Dec","Maharashtra","Amravati","Chandur Railway",49,1248,388,1134,177,1066,1211,1754,75,512,1248,65.33,75.78,90.87,85.42,97.04,84.69,43.40,85.58
"Dec","Maharashtra","Amravati","Chikhaldara",107,2819,854,2330,401,2333,2713,779,131,1304,2819,81.68,65.49,82.65,82.76,96.24,74.26,8.00,70.03
"Dec","Maharashtra","Amravati","Daryapur",57,2181,561,2046,319,2032,2154,4767,77,759,2181,74.03,73.91,93.81,93.17,98.76,90.11,68.28,90.53
"Dec","Maharashtra","Amravati","Dhamangaon Railway",67,1892,509,1753,262,1774,1871,2465,82,694,1892,81.71,73.34,92.65,93.76,98.89,87.33,40.37,88.62
"Dec","Maharashtra","Amravati","Dharni",177,3896,1222,3179,485,3312,3783,270,262,2230,3896,67.56,54.80,81.60,85.01,97.10,51.43,1.66,54.24
"Dec","Maharashtra","Amravati","Morshi",77,2340,695,2046,337,2108,2287,3372,100,920,2340,77.00,75.54,87.44,90.09,97.74,86.41,42.19,82.47
"Dec","Maharashtra","Amravati","Nandgaon-Khandeshwar",65,2008,614,1754,260,1723,1930,2811,101,824,2008,64.36,74.51,87.35,85.81,96.12,82.80,42.04,80.90
"Dec","Maharashtra","Amravati","Teosa",48,1590,370,1390,194,1429,1558,2548,56,547,1590,85.71,67.64,87.42,89.87,97.99,74.90,45.72,80.25
"Dec","Maharashtra","Amravati","Warud",84,2495,619,2257,346,2240,2460,4077,117,856,2495,71.79,72.31,90.46,89.78,98.60,88.49,48.75,86.97
"Dec","Maharashtra","Aurangabad","Aurangabad",679,22018,5698,20233,3268,19442,21748,13505,828,7664,22018,82.00,74.35,91.89,88.30,98.77,91.03,19.55,87.93
"Dec","Maharashtra","Aurangabad","Gangapur",318,10267,2843,9050,1500,9012,10079,3566,385,4012,10267,82.60,70.86,88.15,87.78,98.17,84.75,10.17,80.15
"Dec","Maharashtra","Aurangabad","Kannad",329,7332,2352,6516,1104,6341,7204,3804,418,3247,7332,78.71,72.44,88.87,86.48,98.25,83.95,14.56,79.66
"Dec","Maharashtra","Aurangabad","Khuldabad",80,2266,631,1965,326,1960,2219,750,109,990,2266,73.39,63.74,86.72,86.50,97.93,75.64,9.16,75.06
"Dec","Maharashtra","Aurangabad","Paithan",296,7919,2357,7108,1156,7148,7770,4016,390,3235,7919,75.90,72.86,89.76,90.26,98.12,85.63,14.92,83.07
"Dec","Maharashtra","Aurangabad","Phulambri",107,3711,1064,3427,603,3329,3639,4804,156,1501,3711,68.59,70.89,92.35,89.71,98.06,88.16,38.55,86.98
"Dec","Maharashtra","Aurangabad","Sillod",271,7923,2416,7182,1221,6884,7722,5482,350,3314,7923,77.43,72.90,90.65,86.89,97.46,85.44,20.53,83.80
"Dec","Maharashtra","Aurangabad","Soegaon",123,2555,773,2192,382,2140,2494,2359,180,1218,2555,68.33,63.46,85.79,83.76,97.61,72.62,25.60,70.30
