"month_n","state_n","district_n","sub_district","no_chld_bf_at_birth","no_chld_appr_cf","no_chld_excly_bf","no_chld_rcvg_cf_wid_adq_dt_dvsty","no_chld_intd_cf_past30d","no_chld_cf_wid_adq_dt_qnty","tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg","no_of_chld_cmpltd_1yr_immunzt","total_no_chld_enrld_cas_born_lstmnth","total_no_chld_0t6mnths_enrld_cas","no_chld_appr_cf","prnt_chld_bf_at_birth","prnt_chld_excly_bf","prnt_chld_rcvg_cf_wid_adq_dt_dvsty","prnt_chld_cf_wid_adq_dt_qnty","per_no_chld_cf_wid_appr_hndwhg_bfr_fdg","prnt_chld_intd_cf_p30d","prnt_child_1yr_immnztn","prnt_intd_cf_6to24mnth_child"
"Nov","Maharashtra","Satara","Phaltan",212,5598,1592,5245,785,5314,5542,7981,300,2092,5598,70.67,76.10,93.69,94.93,99.00,92.24,45.46,90.70
"Nov","Maharashtra","Satara","Satara",306,8984,2360,8214,1264,8555,8903,6409,422,3117,8984,72.51,75.71,91.43,95.22,99.10,88.08,21.53,87.44
"Nov","Maharashtra","Satara","Wai",93,2351,721,2205,327,2295,2331,2615,138,947,2351,67.39,76.14,93.79,97.62,99.15,86.74,32.51,87.29
"Nov","Maharashtra","Sindhudurg","Devgad",29,931,238,703,132,874,920,751,48,405,931,60.42,58.77,75.51,93.88,98.82,69.47,17.93,54.54
"Nov","Maharashtra","Sindhudurg","Dodamarg",22,651,195,593,114,617,645,1154,27,260,651,81.48,75.00,91.09,94.78,99.08,89.06,54.62,86.07
"Nov","Maharashtra","Sindhudurg","Kankavli",44,1090,291,920,155,1002,1079,648,54,463,1090,81.48,62.85,84.40,91.93,98.99,69.82,12.60,63.76
"Nov","Maharashtra","Sindhudurg","Kudal",83,1801,507,1470,280,1643,1788,2395,100,711,1801,83.00,71.31,81.62,91.23,99.28,84.85,37.67,74.96
"Nov","Maharashtra","Sindhudurg","Malwan",33,841,243,760,120,757,836,778,45,351,841,73.33,69.23,90.37,90.01,99.41,85.71,24.85,80.08
"Nov","Maharashtra","Sindhudurg","Sawantwadi",60,1602,438,1307,217,1512,1587,2281,75,618,1602,80.00,70.87,81.59,94.38,99.06,86.11,44.48,77.52
"Nov","Maharashtra","Sindhudurg","Vaibhavvadi",9,389,84,334,49,365,388,347,15,128,389,60.00,65.63,85.86,93.83,99.74,73.13,23.20,72.45
