month_n,state_n,district_n,mdrtly_stntd,svrly_stntd,svrly_wstd,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wstd_chld,stntd_chld,uw_chld,svrly_wasting_percent,wasting_percent,svrly_stunting_percent,stunting_percent,svrly_underweight_percent,underweight_percent,low_birth_weight_percent,no_chld_bf_at_birth,no_chld_appr_cf,no_chld_excly_bf,no_chld_rcvg_cf_wid_adq_dt_dvsty,no_chld_intd_cf_past30d,no_chld_cf_wid_adq_dt_qnty,tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg,no_of_chld_cmpltd_1yr_immunzt,total_no_chld_enrld_cas_born_lstmnth,total_no_chld_0t6mnths_enrld_cas,no_chld_appr_cf,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_rcvg_cf_wid_adq_dt_dvsty,prnt_chld_cf_wid_adq_dt_qnty,per_no_chld_cf_wid_appr_hndwhg_bfr_fdg,prnt_chld_intd_cf_p30d,prnt_child_1yr_immnztn,prnt_intd_cf_6to24mnth_child,no_anemic_wmn,no_pregnant_women,no_tenatus_cmpltd,no_wmn_rstg_drg_prgncy,no_wmn_etg_xtr_ml_drg_prgncy,no_trmstr_3wmn_cnsld_imdtbf,no_wmn_4_anc_vst_dlvry,prnt_anwmic_wmn,prnt_4_anc_vst_dlvry,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_wmn_rstg_drg_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Jan,Maharashtra,Nashik,62593,48282,5196,12753,13328,47159,629,17949,110875,60487,1.81,6.25,16.8,38.59,4.09,18.55,17.24,3298,106881,28727,96781,15635,94394,105076,149364,4228,38932,106881,78,73.79,90.55,88.32,98.31,90.22,43.56,86.18,2724,32531,14048,30407,30789,24151,5437,8.37,16.71,94.65,93.47,74.24
Jan,Maharashtra,Osmanabad,20457,9019,488,2796,2030,10318,149,3284,29476,12348,0.51,3.45,9.46,30.93,2.04,12.4,11.72,1114,31884,9319,29634,4381,29350,31309,17670,1374,12116,31884,81.08,76.91,92.94,92.05,98.2,89.3,17.53,88.97,1162,10168,3865,9689,9754,7772,1664,11.43,16.37,95.93,95.29,76.44
Jan,Maharashtra,Palghar,37043,34168,736,4405,8233,31933,383,5141,71211,40166,0.55,3.82,25.36,52.86,5.62,27.43,18.22,1773,44746,13055,38645,5935,39981,44159,20270,2320,17480,44746,76.42,74.69,86.37,89.35,98.69,82.18,12.6,77.57,1226,12748,4592,11530,11639,9020,774,9.62,6.07,91.3,90.45,70.76
Jan,Maharashtra,Parbhani,15157,11158,817,2423,2330,8930,237,3240,26315,11260,1.16,4.6,15.83,37.32,2.74,13.23,22.55,1002,29701,8646,26757,4103,26577,29180,17506,1218,11728,29701,82.27,73.72,90.09,89.48,98.25,86.18,17.31,83.91,955,9192,3049,8453,8520,6582,1039,10.39,11.3,92.69,91.96,71.61
Jan,Maharashtra,Pune,48707,22880,3514,10477,5426,27007,386,13991,71587,32433,1.08,4.32,7.05,22.07,1.54,9.2,11.39,2975,111413,27396,101363,14521,102990,110155,101901,3886,36484,111413,76.56,75.09,90.98,92.44,98.87,87.95,27.22,85.79,3087,27793,9587,26157,26206,21244,4485,11.11,16.14,94.29,94.11,76.44
Jan,Maharashtra,Raigad,12894,6161,519,1892,1692,6539,177,2411,19055,8231,0.59,2.75,7.03,21.75,1.69,8.2,13.59,1160,34321,9938,30927,4749,31750,33940,36335,1456,13369,34321,79.67,74.34,90.11,92.51,98.89,84.04,30.23,82.37,983,9658,3964,8920,8930,6872,1595,10.18,16.51,92.46,92.36,71.15
Jan,Maharashtra,Ratnagiri,11962,5453,332,1863,1305,7242,118,2195,17415,8547,0.56,3.68,9.12,29.13,2.02,13.22,14.75,704,19667,5528,17404,2488,18822,19533,24883,884,7265,19667,79.64,76.09,88.49,95.7,99.32,86.72,35.96,82.93,682,5221,2296,4939,4938,3938,651,13.06,12.47,94.58,94.6,75.43
Jan,Maharashtra,Sangli,17107,6871,888,3457,1644,8604,196,4345,23978,10248,0.7,3.41,5.39,18.8,1.19,7.4,11.32,1591,45068,12662,41583,6382,41711,44598,22290,2052,17274,45068,77.53,73.3,92.27,92.55,98.96,85.94,15.2,84.58,1741,13357,4402,12171,12207,9647,1089,13.03,8.15,91.39,91.12,72.22
Jan,Maharashtra,Satara,19643,9935,596,2597,1832,9409,200,3193,29578,11241,0.47,2.5,7.76,23.11,1.29,7.89,11.76,1485,45930,12961,42390,6479,43677,45569,51629,1930,16932,45930,76.94,76.55,92.29,95.09,99.21,88.5,34.66,88.44,2049,12830,5056,12270,12296,10024,1748,15.97,13.62,95.84,95.64,78.13
Jan,Maharashtra,Sindhudurg,5664,4308,167,1133,855,3956,62,1300,9972,4811,0.64,5.01,16.56,38.33,3.14,17.68,18.24,294,8492,2335,7183,1174,7994,8422,9793,363,3261,8492,80.99,71.6,84.59,94.14,99.18,82.85,32.11,76.56,425,2410,1111,2199,2208,1735,263,17.63,10.91,91.62,91.24,71.99
Jan,Maharashtra,Solapur,35606,19145,1799,5714,3535,17307,399,7513,54751,20842,0.89,3.7,9.42,26.94,1.49,8.81,13.44,2688,79618,23098,72554,10873,72618,78571,56799,3460,30448,79618,77.69,75.86,91.13,91.21,98.68,88.46,21.64,85.48,2142,23206,7677,21638,21735,16897,2382,9.23,10.26,93.66,93.24,72.81
Jan,Maharashtra,Thane,43355,23907,3225,10948,7094,29898,367,14173,67262,36992,1.58,6.93,11.67,32.83,3.1,16.18,17.48,1883,74929,18854,67932,9874,67265,74116,46451,2380,24956,74929,79.12,75.55,90.66,89.77,98.91,87.5,17.54,85.6,2469,18601,6664,17474,17507,13685,2215,13.27,11.91,94.12,93.94,73.57
Jan,Maharashtra,Wardha,11722,8659,728,2054,2356,8777,165,2782,20381,11133,1.41,5.4,16.79,39.52,3.57,16.87,17.12,822,21042,6547,19001,2825,19086,20693,17464,1106,8607,21042,74.32,76.07,90.3,90.7,98.34,81.04,25.44,84.5,1028,6328,2594,5968,6016,4853,1098,16.25,17.35,95.07,94.31,76.69
Jan,Maharashtra,Washim,14985,8897,506,1725,2008,7781,175,2231,23882,9789,0.74,3.27,13.04,35.01,2.71,13.19,17.8,882,23605,7178,21238,3412,20352,23107,20261,1163,9728,23605,75.84,73.79,89.97,86.22,97.89,86.71,26.95,84.16,1112,7484,2970,6939,7007,5558,1291,14.86,17.25,93.63,92.72,74.27
Jan,Maharashtra,Yavatmal,30013,22271,1642,5451,5371,19087,360,7093,52284,24458,1.2,5.19,16.27,38.2,3.46,15.77,16.9,1912,48843,15259,44504,6963,42682,47929,32483,2451,20793,48843,78.01,73.39,91.12,87.39,98.13,84.12,19.75,83.15,2283,14971,6305,13375,13505,10812,2372,15.25,15.84,90.21,89.34,72.22
Nov,Maharashtra,Ahmadnagar,38634,23349,2485,8012,6127,24283,489,10497,61983,30410,1.02,4.3,9.55,25.35,2.38,11.8,12.41,3545,84457,26205,77765,12545,77953,83203,66718,4571,33750,84457,77.55,77.64,92.08,92.3,98.52,88.42,24.46,87.05,2820,25413,10173,23984,24104,19382,3725,11.1,14.66,94.85,94.38,76.27
Nov,Maharashtra,Akola,13171,9326,1265,2661,2088,7850,197,3926,22497,9938,1.96,6.07,14.39,34.7,2.76,13.12,14.91,1159,26934,8535,23206,3750,22468,26470,9191,1588,11996,26934,72.98,71.15,86.16,83.42,98.28,77.75,9.52,73.51,1408,8967,3711,7993,8032,6399,707,15.7,7.88,89.57,89.14,71.36
Nov,Maharashtra,Amravati,29860,23214,2610,6111,6573,22977,364,8721,53074,29550,2.27,7.59,20.16,46.1,5.03,22.61,16.58,1896,45636,13538,40026,6463,39352,44711,50724,2552,19231,45636,74.29,70.4,87.71,86.23,97.97,80.25,32.57,77.45,3233,13833,6370,12261,12336,9689,2764,23.37,19.98,89.18,88.64,70.04
Nov,Maharashtra,Aurangabad,41460,27146,3441,8835,8247,28625,632,12276,68606,36872,1.94,6.92,15.29,38.63,4.21,18.83,22.69,2576,68272,19935,61513,9941,60237,67022,37232,3328,27862,68272,77.4,71.55,90.1,88.23,98.17,83.78,15.93,81.79,1826,21984,7900,19619,19821,15620,1651,8.31,7.51,90.16,89.24,71.05
Nov,Maharashtra,Beed,26292,19184,2633,6036,4108,15964,405,8669,45476,20072,2.03,6.67,14.73,34.92,2.98,14.56,17.51,1941,49605,15207,44402,6912,44783,48675,18597,2748,20669,49605,70.63,73.57,89.51,90.28,98.13,83.51,10.41,79.89,1092,15844,5308,14143,14276,11514,888,6.89,5.6,90.1,89.26,72.67
Nov,Maharashtra,Bhandara,13439,8779,905,2494,1945,7374,196,3399,22218,9319,1.48,5.54,14.28,36.14,2.87,13.77,14.76,1094,20983,6878,18627,2777,18867,20599,17467,1493,9015,20983,73.28,76.3,88.77,89.92,98.17,83.04,24.81,80.38,1691,6720,3761,6081,6112,4929,1029,25.16,15.31,90.95,90.49,73.35
Nov,Maharashtra,Buldana,23549,15348,2443,5690,4866,19958,341,8133,38897,24824,2.23,7.44,14.02,35.52,3.18,16.23,15.62,2060,50279,15679,44241,7290,43952,49544,49573,2500,20206,50279,82.4,77.6,87.99,87.42,98.54,87.49,30.23,82.47,1958,15297,6579,14475,14556,11562,2301,12.8,15.04,95.16,94.63,75.58
Nov,Maharashtra,Chandrapur,24608,20034,1962,4233,4257,15990,357,6195,44642,20247,1.89,5.96,19.24,42.88,3.8,18.05,21.02,1504,35364,10958,32402,4522,31970,34864,34148,2006,14434,35364,74.98,75.92,91.62,90.4,98.59,85.39,29.32,86.27,2075,10333,4915,9738,9798,7695,1547,20.08,14.97,94.82,94.24,74.47
Nov,Maharashtra,Dhule,23510,20539,1898,4890,5487,17820,412,6788,44049,23307,1.93,6.89,20.8,44.61,4.5,19.12,19.9,1886,42467,13816,37504,6320,36038,41828,25997,2345,18744,42467,80.43,73.71,88.31,84.86,98.5,83.36,17.97,78.58,1170,12580,4590,11104,11245,8586,927,9.3,7.37,89.39,88.27,68.25
Nov,Maharashtra,Gadchiroli,16747,13714,1445,4225,5261,15817,261,5670,30461,21078,2.56,10.05,24.24,53.84,8.37,33.52,19.86,1052,20605,6591,17947,2489,17370,20205,9914,1544,9903,20605,68.13,66.56,87.1,84.3,98.06,76.16,13.2,71.15,1394,6989,3226,5909,5980,4616,868,19.95,12.42,85.56,84.55,66.05
Nov,Maharashtra,Gondia,16712,9907,1323,3296,2544,9669,283,4619,26619,12213,1.68,5.87,12.58,33.8,3,14.41,17.74,1339,26174,8118,22842,3339,23317,25777,20197,1715,10562,26174,78.08,76.86,87.27,89.08,98.48,86.86,24.54,81.93,2122,8365,4556,7881,7905,6250,1256,25.37,15.01,94.5,94.21,74.72
Nov,Maharashtra,Hingoli,10849,8849,1188,2690,2916,9631,245,3878,19698,12547,2.42,7.91,18.01,40.08,4.55,19.58,20.87,1037,23046,7589,20370,3095,20241,22565,6102,1388,11009,23046,74.71,68.93,88.39,87.83,97.91,79.52,7.18,74.92,1067,7824,2870,6534,6595,5220,299,13.64,3.82,84.29,83.51,66.72
Nov,Maharashtra,Jalgaon,45342,26408,3839,10410,6882,29411,517,14249,71750,36293,1.78,6.61,12.23,33.22,2.92,15.41,14.89,3154,76436,23601,69868,11172,67195,75227,124807,4098,31293,76436,76.96,75.42,91.41,87.91,98.42,88.91,49.22,84.7,2690,23270,10700,21347,21597,16988,1955,11.56,8.4,92.81,91.74,73
Nov,Maharashtra,Jalna,22363,17523,3035,5980,4281,14227,412,9015,39886,18508,2.65,7.89,15.27,34.76,3.24,13.99,23.04,1691,40267,12703,35580,5958,35193,39352,14828,2177,16936,40267,77.68,75.01,88.36,87.4,97.73,87.44,10.74,81.1,1136,12799,4736,11906,11999,9618,998,8.88,7.8,93.75,93.02,75.15
Nov,Maharashtra,Kolhapur,27093,11925,1726,5873,3560,14955,330,7599,39018,18515,1.03,4.54,7.12,23.31,1.94,10.09,13.64,2185,59680,15912,53940,8313,54985,59105,53265,2865,21198,59680,76.27,75.06,90.38,92.13,99.04,89.43,27.38,85.79,2198,17501,7049,16346,16452,12799,1025,12.56,5.86,94.01,93.4,73.13
Nov,Maharashtra,Latur,16965,11695,1986,3711,3425,11332,386,5697,28660,14757,2.24,6.41,13.13,32.18,3.02,13.01,18.58,1706,40158,12771,36635,5599,36305,39214,12487,2457,17937,40158,69.43,71.2,91.23,90.41,97.65,82.92,9.1,81.19,1596,13016,4501,11523,11658,9214,979,12.26,7.52,89.57,88.53,70.79
Nov,Maharashtra,Mumbai City,5900,3413,1068,2418,1382,4999,59,3486,9313,6381,3.37,11,10.69,29.18,3.49,16.12,12.61,414,14957,3635,13306,1766,13440,14827,6342,577,5277,14957,71.75,68.88,88.96,89.86,99.13,77.12,9.93,74.03,171,2661,679,2220,2206,1882,120,6.43,4.51,82.9,83.43,70.73
Nov,Maharashtra,Mumbai Suburban,30311,18373,3753,11613,6667,25231,364,15366,48684,31898,2.57,10.53,12.53,33.21,3.57,17.06,16.78,1905,76933,17947,66970,9427,70851,76268,44760,2569,24427,76933,74.15,73.47,87.05,92.09,99.14,83,15.25,78.2,1094,13279,3893,12263,12272,10297,517,8.24,3.89,92.42,92.35,77.54
Nov,Maharashtra,Nagpur,26577,17333,2715,6648,4888,19727,504,9363,43910,24615,2.08,7.18,13.25,33.56,2.87,14.46,16.58,2615,59080,18301,52951,8115,52225,58133,41798,3423,25009,59080,76.39,73.18,89.63,88.4,98.4,82.33,21.1,79.58,2781,18176,7322,16204,16247,13019,1950,15.3,10.73,89.39,89.15,71.63
Nov,Maharashtra,Nanded,26754,20396,3106,6225,5813,19303,622,9331,47150,25116,2.14,6.44,14.02,32.42,3.05,13.19,17.02,3020,64859,22064,58303,8885,57881,63361,24630,4071,29299,64859,74.18,75.31,89.89,89.24,97.69,85.47,11.2,81.3,2220,19279,7778,17510,17646,14036,1337,11.52,6.94,91.53,90.82,72.8
Nov,Maharashtra,Nandurbar,30138,39513,2586,7315,12517,32593,384,9901,69651,45110,2.52,9.66,38.44,67.75,11.47,41.32,20.52,1626,34029,12298,29317,4593,29057,33376,17405,2207,16767,34029,73.67,73.35,86.15,85.39,98.08,83.6,14.97,77.16,1497,10847,4402,9656,9759,7326,982,13.8,9.05,89.97,89.02,67.54
Nov,Maharashtra,Nashik,58161,48075,5373,12703,14292,47802,641,18076,106236,62094,2.06,6.92,18.37,40.59,4.57,19.85,17.01,3261,103653,29067,92423,15383,92001,101966,106405,4480,39122,103653,72.79,74.3,89.17,88.76,98.37,87.28,31.07,83.06,2542,30859,12622,28158,28523,21375,3274,8.24,10.61,92.43,91.25,69.27
Nov,Maharashtra,Osmanabad,20011,10757,1511,3981,2938,11430,260,5492,30768,14368,1.69,6.15,12.03,34.4,3.08,15.05,16.88,1334,31148,9159,28603,4465,28574,30522,13690,1712,12085,31148,77.92,75.79,91.83,91.74,97.99,88.03,13.69,85.83,1104,9843,3897,9192,9233,7227,1100,11.22,11.18,93.8,93.39,73.42
Nov,Maharashtra,Palghar,33747,33941,1254,5952,9250,31159,344,7206,67688,40409,1.01,5.79,27.24,54.32,6.96,30.39,16.1,1748,41549,11934,35639,5688,37334,40949,16202,2509,17208,41549,69.67,69.35,85.78,89.86,98.56,75.83,9.97,69.75,1293,13316,5001,11308,11426,8416,408,9.71,3.06,85.81,84.92,63.2
Nov,Maharashtra,Parbhani,14982,11097,1223,2785,2761,9261,265,4008,26079,12022,1.77,5.81,16.04,37.7,3.31,14.4,21.15,1138,29087,8502,25888,4007,26155,28543,15270,1485,11937,29087,76.63,71.22,89,89.92,98.13,84.16,15.02,79.81,876,8767,3225,7895,7927,6254,721,9.99,8.22,90.42,90.05,71.34
Nov,Maharashtra,Pune,41589,21479,3770,10385,6254,27576,409,14155,63068,33830,1.53,5.73,8.68,25.49,2.07,11.21,12.12,2987,105441,25480,94268,14025,97675,104143,75934,4018,35162,105441,74.34,72.46,89.4,92.63,98.77,82.95,20.38,80.09,2698,25749,8577,23015,23041,18154,2118,10.48,8.23,89.48,89.38,70.5
Nov,Maharashtra,Raigad,13315,6957,731,2412,2039,6986,209,3143,20272,9025,0.86,3.7,8.18,23.83,2.13,9.44,12.98,1379,32485,9382,28924,4640,30173,32117,31580,1829,13344,32485,75.4,70.31,89.04,92.88,98.87,78.91,26.48,77.35,912,9131,3930,8139,8131,6219,922,9.99,10.1,89.05,89.14,68.11
Nov,Maharashtra,Ratnagiri,11020,5574,409,1933,1401,7128,94,2342,16594,8529,0.73,4.2,9.99,29.75,2.27,13.8,11.55,693,19073,4963,16748,2575,18228,18907,23196,920,6866,19073,75.33,72.28,87.81,95.57,99.13,84.9,33.64,79.09,694,5076,2477,4729,4724,3718,520,13.67,10.24,93.07,93.16,73.25
Nov,Maharashtra,Sangli,15430,7036,1143,3535,1789,8027,203,4678,22466,9816,1.06,4.35,6.54,20.89,1.5,8.21,11.48,1548,41131,11696,37496,5832,37743,40658,17845,2111,17286,41131,73.33,67.66,91.16,91.76,98.85,76.64,12.23,76.53,1527,12804,4193,10724,10745,8280,681,11.93,5.32,83.92,83.76,64.67
Nov,Maharashtra,Satara,20741,11890,1106,3281,2169,10175,256,4387,32631,12344,0.9,3.57,9.67,26.53,1.58,9,12.64,1683,44838,12770,40870,6204,42430,44355,45344,2327,17087,44838,72.32,74.74,91.15,94.63,98.92,85.37,30.35,84.87,1908,12740,5465,11655,11688,9247,1357,14.98,10.65,91.74,91.48,72.58
Nov,Maharashtra,Sindhudurg,5386,4279,234,1118,897,3954,63,1352,9665,4851,0.96,5.55,17.52,39.58,3.48,18.81,17.5,315,8078,2256,6707,1177,7511,8007,9149,405,3271,8078,77.78,68.97,83.03,92.98,99.12,80.67,30.21,72,419,2343,1227,2110,2106,1687,241,17.88,10.29,89.88,90.06,72
Nov,Maharashtra,Solapur,35730,20579,2576,6455,4575,19436,549,9031,56309,24011,1.34,4.69,10.67,29.18,2.01,10.53,14.46,3246,77695,23063,69719,10957,70942,76625,46978,4376,31207,77695,74.18,73.9,89.73,91.31,98.62,83.83,17.91,81.14,2074,22988,8136,20634,20720,16077,1740,9.02,7.57,90.13,89.76,69.94
Nov,Maharashtra,Thane,39470,24124,3660,10817,7372,28585,454,14477,63594,35957,1.95,7.71,12.82,33.8,3.43,16.72,17.71,2222,72231,17850,64857,9522,64989,71394,39013,2959,24185,72231,75.09,73.81,89.79,89.97,98.84,85.11,15.01,82.49,2159,17138,6850,15823,15833,12705,1451,12.6,8.47,92.39,92.33,74.13
Nov,Maharashtra,Wardha,10189,7851,928,2143,2618,9121,198,3071,18040,11739,2.09,6.91,17.64,40.53,3.97,17.8,17.68,901,20690,6697,18417,2928,18793,20340,14106,1327,8862,20690,67.9,75.57,89.01,90.83,98.31,84.07,20.58,82.39,1046,6169,2783,5783,5824,4595,560,16.96,9.08,94.41,93.74,74.49
Nov,Maharashtra,Washim,15209,9713,1212,2987,2767,9045,198,4199,24922,11812,1.83,6.33,14.63,37.54,3.88,16.57,18.07,969,22369,7275,19740,3314,19202,21839,18213,1363,9853,22369,71.09,73.84,88.25,85.84,97.63,85.74,24.3,80.19,1065,7295,3015,6570,6627,5170,848,14.6,11.62,90.84,90.06,70.87
Nov,Maharashtra,Yavatmal,25702,20997,2193,5437,6511,19854,441,7630,46699,26365,1.92,6.67,18.33,40.76,4.65,18.85,18.41,2012,46455,15095,41837,6657,41031,45548,27659,2775,21504,46455,72.5,70.2,90.06,88.32,98.05,79.59,16.67,78.17,2176,15010,6297,12868,12983,9908,1619,14.5,10.79,86.5,85.73,66.01
