month_n,state_n,district_n,mdrtly_stntd,svrly_stntd,svrly_wstd,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wstd_chld,stntd_chld,uw_chld,svrly_wasting_percent,wasting_percent,svrly_stunting_percent,stunting_percent,svrly_underweight_percent,underweight_percent,low_birth_weight_percent,no_chld_bf_at_birth,no_chld_appr_cf,no_chld_excly_bf,no_chld_rcvg_cf_wid_adq_dt_dvsty,no_chld_intd_cf_past30d,no_chld_cf_wid_adq_dt_qnty,tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg,no_of_chld_cmpltd_1yr_immunzt,total_no_chld_enrld_cas_born_lstmnth,total_no_chld_0t6mnths_enrld_cas,no_chld_appr_cf,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_rcvg_cf_wid_adq_dt_dvsty,prnt_chld_cf_wid_adq_dt_qnty,per_no_chld_cf_wid_appr_hndwhg_bfr_fdg,prnt_chld_intd_cf_p30d,prnt_child_1yr_immnztn,prnt_intd_cf_6to24mnth_child,no_anemic_wmn,no_pregnant_women,no_tenatus_cmpltd,no_wmn_rstg_drg_prgncy,no_wmn_etg_xtr_ml_drg_prgncy,no_trmstr_3wmn_cnsld_imdtbf,no_wmn_4_anc_vst_dlvry,prnt_anwmic_wmn,prnt_4_anc_vst_dlvry,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_wmn_rstg_drg_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf
Dec,Maharashtra,Jalna,23102,17814,2956,5688,3758,13697,341,8644,40916,17455,2.48,7.26,14.92,34.28,2.77,12.86,20.79,1532,41048,12574,36583,6278,35909,40152,16793,1982,16799,41048,77.3,74.85,89.12,87.48,97.82,88.09,12.11,82.74,1197,13026,4716,12169,12277,9754,1490,9.19,11.44,94.25,93.42,74.88
Dec,Maharashtra,Kolhapur,27111,11256,1542,5518,3399,14754,294,7060,38367,18153,0.91,4.15,6.61,22.54,1.81,9.69,13.75,1976,60454,15704,55005,8438,55712,59923,56636,2481,21053,60454,79.65,74.59,90.99,92.16,99.12,90.48,29.11,87.59,2110,16956,7192,16178,16255,12557,1569,12.44,9.25,95.87,95.41,74.06
Dec,Maharashtra,Latur,16945,11236,1742,3111,2977,10638,337,4853,28181,13615,2.02,5.62,12.99,32.57,2.64,12.09,19.09,1549,41139,12729,37794,5841,37270,40207,21262,2084,17571,41139,74.33,72.44,91.87,90.6,97.73,83.79,15.52,83.93,1615,12667,4754,11458,11574,9020,1258,12.75,9.93,91.37,90.46,71.21
Dec,Maharashtra,Mumbai City,6127,3763,1074,2572,1433,5506,67,3646,9890,6939,3.17,10.77,11.03,28.99,3.34,16.19,16.26,365,16278,3894,14554,2094,14649,16156,7159,490,5588,16278,74.49,69.69,89.41,89.99,99.25,80.08,10.94,78.94,179,2775,678,2410,2395,1982,96,6.45,3.46,86.31,86.85,71.42
Dec,Maharashtra,Mumbai Suburban,30196,18090,3879,11122,6417,26150,331,15001,48286,32567,2.74,10.6,12.73,33.98,3.4,17.26,16.52,1814,78881,18174,68936,10196,72917,78170,49796,2330,25001,78881,77.85,72.69,87.39,92.44,99.1,84.76,16.8,80.47,1050,13472,3855,12672,12702,10386,717,7.79,5.32,94.28,94.06,77.09
Dec,Maharashtra,Nagpur,26950,16802,2185,5815,4473,19310,447,8000,43752,23783,1.63,5.95,12.48,32.49,2.58,13.7,17.63,2282,61700,18527,55735,8591,54448,60746,46697,2859,25302,61700,79.82,73.22,90.33,88.25,98.45,84.72,23.43,83.31,2860,18063,7327,16552,16599,13282,2315,15.83,12.82,91.9,91.63,73.53
Dec,Maharashtra,Nanded,27568,20022,2778,5934,5030,18545,505,8712,47590,23575,1.83,5.73,13.13,31.22,2.55,11.96,16.45,2562,65770,21517,59558,9491,58749,64266,27861,3368,28848,65770,76.07,74.59,90.55,89.32,97.71,86.89,12.71,83.11,2238,18728,7430,17280,17377,13663,1848,11.95,9.87,92.79,92.27,72.95
Dec,Maharashtra,Nandurbar,30496,36445,1739,6753,11417,32060,349,8492,66941,43477,1.69,8.24,35.31,64.85,10.25,39.03,18.33,1703,34647,12107,30061,5149,29455,33985,19047,2224,16945,34647,76.57,71.45,86.76,85.01,98.09,83.55,16.43,78.93,1567,10527,4204,9513,9660,7007,1100,14.89,10.45,91.76,90.37,66.56
Dec,Maharashtra,Nashik,60092,47623,5132,12578,13332,46592,633,17710,107715,59924,1.89,6.51,17.47,39.52,4.22,18.97,17.95,3154,105444,28523,94624,15533,93101,103665,131342,4211,39203,105444,74.9,72.76,89.74,88.29,98.31,89.3,38.34,84.75,2707,31290,13430,28990,29362,22228,3992,8.65,12.76,93.84,92.65,71.04
Dec,Maharashtra,Osmanabad,21233,10824,954,3576,2556,11294,183,4530,32057,13850,1,4.75,11.33,33.56,2.55,13.84,13.93,1123,31848,9309,29355,4580,29263,31232,16009,1454,12283,31848,77.24,75.79,92.17,91.88,98.07,90.16,15.83,87.62,1131,9834,3999,9299,9348,7354,1208,11.5,12.28,95.06,94.56,74.78
