month_n,state_n,district_n,sub_district,mdrtly_stntd,svrly_stntd,svrly_wstd,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wstd_chld,stntd_chld,uw_chld,svrly_wasting_percent,wasting_percent,svrly_stunting_percent,stunting_percent,svrly_underweight_percent,underweight_percent,low_birth_weight_percent,no_anemic_wmn,no_pregnant_women,no_tenatus_cmpltd,no_wmn_rstg_drg_prgncy,no_wmn_etg_xtr_ml_drg_prgncy,no_trmstr_3wmn_cnsld_imdtbf,no_wmn_4_anc_vst_dlvry,prnt_anwmic_wmn,prnt_4_anc_vst_dlvry,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_wmn_rstg_drg_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf,no_chld_bf_at_birth,no_chld_appr_cf,no_chld_excly_bf,no_chld_rcvg_cf_wid_adq_dt_dvsty,no_chld_intd_cf_past30d,no_chld_cf_wid_adq_dt_qnty,tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg,no_of_chld_cmpltd_1yr_immunzt,total_no_chld_enrld_cas_born_lstmnth,total_no_chld_0t6mnths_enrld_cas,no_chld_appr_cf,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_rcvg_cf_wid_adq_dt_dvsty,prnt_chld_cf_wid_adq_dt_qnty,per_no_chld_cf_wid_appr_hndwhg_bfr_fdg,prnt_chld_intd_cf_p30d,prnt_child_1yr_immnztn,prnt_intd_cf_6to24mnth_child
Nov,Maharashtra,Raigad,Mahad,1117,596,50,223,190,710,20,273,1713,900,0.91,4.96,10.79,31.02,3.05,14.45,18.87,85,582,241,530,530,412,72,14.6,12.37,91.07,91.07,70.79,94,2213,647,1884,292,2083,2202,2580,117,877,2213,80.34,73.77,85.13,94.13,99.5,82.02,34.28,77.15
Nov,Maharashtra,Raigad,Mangaon,817,525,58,197,134,467,18,255,1342,601,1.13,4.98,10.23,26.14,2.27,10.2,19.35,53,564,202,490,487,344,22,9.4,3.9,86.35,86.88,60.99,75,2248,617,2005,283,2107,2211,659,108,861,2248,69.44,71.66,89.19,93.73,98.35,74.87,8.22,76.38
Nov,Maharashtra,Raigad,Mhasla,308,192,13,90,61,278,0,103,500,339,0.81,6.39,11.87,30.9,3.49,19.42,0,11,159,52,156,153,133,11,6.92,6.92,96.23,98.11,83.65,23,650,165,543,95,580,634,106,29,249,650,79.31,66.27,83.54,89.23,97.54,79.83,4.63,76.16
Nov,Maharashtra,Raigad,Murud,430,136,12,54,45,222,6,66,566,267,0.42,2.3,4.74,19.72,1.54,9.13,10.91,28,258,113,252,252,216,20,10.85,7.75,97.67,97.67,83.72,49,981,331,871,147,907,976,765,57,399,981,85.96,82.96,88.79,92.46,99.49,98,27.95,87.45
Nov,Maharashtra,Raigad,Panvel,1901,751,55,306,244,807,27,361,2652,1051,0.27,1.79,3.72,13.12,1.07,4.59,7.85,161,1989,963,1747,1757,1389,227,8.09,11.41,88.34,87.83,69.83,287,7354,2078,6828,1038,7062,7263,15066,373,2918,7354,76.94,71.21,92.85,96.03,98.76,79.91,51.8,81.32
Nov,Maharashtra,Raigad,Pen,698,330,45,136,80,298,26,181,1028,378,0.57,2.27,4.14,12.9,0.92,4.35,15.48,82,738,371,702,707,557,145,11.11,19.65,95.8,95.12,75.47,141,2872,856,2520,406,2566,2838,3757,195,1142,2872,72.31,74.96,87.74,89.35,98.82,90.22,40.19,81.21
Nov,Maharashtra,Raigad,Poladpur,186,106,33,49,36,117,5,82,292,153,2.54,6.31,8.1,22.31,2.71,11.54,14.29,9,94,42,87,85,59,0,9.57,0,90.43,92.55,62.77,34,408,135,332,72,381,407,458,41,190,408,82.93,71.05,81.37,93.38,99.75,85.71,29.5,69.89
Nov,Maharashtra,Raigad,Roha,864,441,45,172,128,526,12,217,1305,654,0.94,4.55,9.24,27.34,1.85,9.45,13.33,47,587,234,483,477,397,22,8.01,3.75,81.26,82.28,67.63,76,2117,579,1885,308,1982,2101,351,107,861,2117,71.03,67.25,89.04,93.62,99.24,77,4.39,73.95
Nov,Maharashtra,Raigad,Shrivardhan,592,242,26,70,61,239,4,96,834,300,0.81,3,7.55,26.02,1.64,8.07,7.41,44,313,170,303,304,241,48,14.06,15.34,97.12,96.81,77,45,1176,355,1076,164,1122,1168,1631,58,445,1176,77.59,79.78,91.5,95.41,99.32,88.65,43.24,87.98
Nov,Maharashtra,Raigad,Sudhagad,763,474,64,145,115,384,10,209,1237,499,2.19,7.14,16.12,42.07,3.85,16.72,17.54,24,297,106,249,250,187,0,8.08,0,84.18,83.84,62.96,51,943,287,798,147,832,933,118,75,444,943,68,64.64,84.62,88.23,98.94,79.89,3.18,70.06
