month_n,state_n,district_n,sub_district,mdrtly_stntd,svrly_stntd,svrly_wstd,mdrtly_wstd,svrly_uw,mdrtly_uw,nb_lbw,wstd_chld,stntd_chld,uw_chld,svrly_wasting_percent,wasting_percent,svrly_stunting_percent,stunting_percent,svrly_underweight_percent,underweight_percent,low_birth_weight_percent,no_anemic_wmn,no_pregnant_women,no_tenatus_cmpltd,no_wmn_rstg_drg_prgncy,no_wmn_etg_xtr_ml_drg_prgncy,no_trmstr_3wmn_cnsld_imdtbf,no_wmn_4_anc_vst_dlvry,prnt_anwmic_wmn,prnt_4_anc_vst_dlvry,prnt_wmn_etg_xtr_ml_drng_prgncy,prnt_wmn_rstg_drg_prgncy,prnt_trmstr_3wmn_cnsld_imdtbf,no_chld_bf_at_birth,no_chld_appr_cf,no_chld_excly_bf,no_chld_rcvg_cf_wid_adq_dt_dvsty,no_chld_intd_cf_past30d,no_chld_cf_wid_adq_dt_qnty,tot_no_chld_rcvg_cf_wid_appr_hndwhd_bfr_fdg,no_of_chld_cmpltd_1yr_immunzt,total_no_chld_enrld_cas_born_lstmnth,total_no_chld_0t6mnths_enrld_cas,no_chld_appr_cf,prnt_chld_bf_at_birth,prnt_chld_excly_bf,prnt_chld_rcvg_cf_wid_adq_dt_dvsty,prnt_chld_cf_wid_adq_dt_qnty,per_no_chld_cf_wid_appr_hndwhg_bfr_fdg,prnt_chld_intd_cf_p30d,prnt_child_1yr_immnztn,prnt_intd_cf_6to24mnth_child
Dec,Maharashtra,Gadchiroli,Chamorshi,2641,1692,138,604,648,2359,21,742,4333,3007,1.54,8.27,18.83,48.22,6.46,29.96,12.8,150,997,504,916,913,703,133,15.05,13.34,91.57,91.88,70.51,139,3054,976,2617,427,2739,2993,1979,185,1336,3054,75.14,73.05,85.69,89.69,98,81.18,18.7,77.13
Dec,Maharashtra,Gadchiroli,Desaiganj (Vadasa),1163,901,42,242,278,1002,11,284,2064,1280,1.2,8.09,25.64,58.74,7.53,34.65,18.03,103,388,191,342,351,221,36,26.55,9.28,90.46,88.14,56.96,53,1085,366,921,134,1008,1067,618,65,510,1085,81.54,71.76,84.88,92.9,98.34,75.71,16.99,74.21
Dec,Maharashtra,Gadchiroli,Dhanora,1389,1099,99,334,433,1245,23,433,2488,1678,2.2,9.61,24.3,55.02,9.01,34.91,19.66,128,725,335,613,629,474,88,17.66,12.14,86.76,84.55,65.38,103,1988,645,1696,228,1656,1944,414,131,916,1988,78.63,70.41,85.31,83.3,97.79,80.28,6.05,74.52
Dec,Maharashtra,Gadchiroli,Etapalli,808,846,94,238,342,817,23,332,1654,1159,3.33,11.76,29.8,58.26,11.03,37.38,23.71,63,468,142,383,387,309,5,13.46,1.07,82.69,81.84,66.03,82,1497,503,1339,177,1163,1460,109,128,777,1497,64.06,64.74,89.45,77.69,97.53,68.6,1.69,63.28
Dec,Maharashtra,Gadchiroli,Gadchiroli,2743,1665,193,629,699,2430,46,822,4408,3129,2.05,8.75,17.7,46.86,6.49,29.04,30.07,312,1037,506,996,1002,843,222,30.09,21.41,96.62,96.05,81.29,140,3387,1064,2988,431,3096,3340,3380,166,1374,3387,84.34,77.44,88.22,91.41,98.61,88.14,30.76,84
Dec,Maharashtra,Gadchiroli,Korchi,1037,686,70,243,291,856,13,313,1723,1147,2.25,10.07,22.06,55.4,9.24,36.44,21.31,92,371,174,311,321,227,25,24.8,6.74,86.52,83.83,61.19,42,1073,310,826,137,940,1055,391,73,478,1073,57.53,64.85,76.98,87.6,98.32,75.27,10.94,65.4
Dec,Maharashtra,Gadchiroli,Kurkheda,1224,1128,59,234,330,1056,24,293,2352,1386,1.35,6.71,25.72,53.63,7.05,29.62,23.76,149,559,266,457,459,325,55,26.65,9.84,82.11,81.75,58.14,78,1502,487,1347,192,1375,1485,452,114,787,1502,68.42,61.88,89.68,91.54,98.87,71.91,8.18,72.15
Dec,Maharashtra,Gadchiroli,Mulchera,930,640,61,178,197,735,8,239,1570,932,1.78,6.97,18.65,45.75,5.24,24.77,20,100,391,193,369,369,283,69,25.58,17.65,94.37,94.37,72.38,36,1306,364,1121,153,1088,1287,557,53,519,1306,67.92,70.13,85.83,83.31,98.55,82.7,12.98,78.83
Dec,Maharashtra,Gadchiroli,Sironcha,1432,1085,104,281,316,1113,14,385,2517,1429,2.04,7.54,21.21,49.21,5.76,26.03,15.73,97,562,219,508,515,378,35,17.26,6.23,91.64,90.39,67.26,89,1710,587,1531,221,1212,1672,601,116,830,1710,76.72,70.72,89.53,70.88,97.78,87.01,10.8,82.71
Dec,Maharashtra,Gondia,Amgaon,1809,1210,77,283,222,944,20,360,3019,1166,1.08,5.05,16.97,42.34,2.51,13.2,15.87,200,866,427,825,824,666,146,23.09,16.86,95.15,95.27,76.91,122,2688,848,2234,364,2534,2663,2087,134,1081,2688,91.04,78.45,83.11,94.27,99.07,91.46,24.88,78.8
Dec,Maharashtra,Gondia,Arjuni Morgaon,1885,1500,116,279,305,1380,26,395,3385,1685,1.51,5.14,19.5,44,3.11,17.21,16.35,198,933,545,872,885,678,135,21.22,14.47,94.86,93.46,72.67,142,2808,876,2514,380,2292,2768,2652,168,1127,2808,84.52,77.73,89.53,81.62,98.58,88.17,29.37,84.45
Dec,Maharashtra,Gondia,Deori,1563,936,86,267,183,665,26,353,2499,848,1.09,4.46,11.81,31.53,2.26,10.48,19.4,236,856,442,815,815,630,162,27.57,18.93,95.21,95.21,73.6,123,2625,740,2303,340,2241,2606,2066,154,959,2625,79.87,77.16,87.73,85.37,99.28,87.86,27.31,84.73
Dec,Maharashtra,Gondia,Gondiya,5436,2894,581,1330,858,3241,81,1911,8330,4099,2.16,7.09,10.72,30.87,3.08,14.73,17.72,573,2501,1226,2355,2354,1884,402,22.91,16.07,94.12,94.16,75.33,386,8274,2615,7326,1120,7341,8143,6084,488,3437,8274,79.1,76.08,88.54,88.72,98.42,90.4,23.12,84.27
Dec,Maharashtra,Gondia,Goregaon,1594,864,85,291,257,890,24,376,2458,1147,1.08,4.76,10.92,31.07,3.1,13.81,17.27,171,795,451,754,758,581,136,21.51,17.11,95.35,94.84,73.08,124,2487,788,2151,341,2213,2446,1716,159,1033,2487,77.99,76.28,86.49,88.98,98.35,89.03,21.54,80.56
Dec,Maharashtra,Gondia,Sadak Arjuni,1303,719,106,318,223,819,21,424,2022,1042,1.63,6.53,11.06,31.09,2.87,13.41,17.21,204,780,402,737,744,599,123,26.15,15.77,95.38,94.49,76.79,109,2329,742,2101,292,2094,2296,1568,132,975,2329,82.58,76.1,90.21,89.91,98.58,89.3,21,85.9
Dec,Maharashtra,Gondia,Salekasa,1427,772,69,215,205,800,23,284,2199,1005,1.09,4.49,12.19,34.72,3.18,15.58,22.33,145,667,357,638,633,534,157,21.74,23.54,94.9,95.65,80.06,87,2071,630,1851,263,1844,2050,1437,110,832,2071,79.09,75.72,89.38,89.04,98.99,85.95,23.57,85.65
Dec,Maharashtra,Gondia,Tirora,1773,895,115,377,215,911,24,492,2668,1126,1.27,5.41,9.84,29.33,2.2,11.51,14.04,314,938,585,908,910,744,409,33.48,43.6,97.01,96.8,79.32,142,2924,950,2624,386,2686,2891,4765,191,1191,2924,74.35,79.76,89.74,91.86,98.87,90.4,51.36,86.57
Dec,Maharashtra,Hingoli,Aundha (Nagnath),2472,2103,395,707,695,2202,54,1102,4575,2897,3.49,9.73,18.52,40.29,5.26,21.93,29.51,132,1235,421,1143,1129,927,49,10.69,3.97,91.42,92.55,75.06,165,4118,1462,3732,607,3597,3990,582,198,1905,4118,83.33,76.75,90.63,87.35,96.89,86.1,4.21,81.91
Dec,Maharashtra,Hingoli,Basmath,3326,2415,307,683,552,2275,48,990,5741,2827,2.24,7.22,17.59,41.82,3.62,18.56,19.83,289,1548,662,1407,1424,1113,191,18.67,12.34,91.99,90.89,71.9,215,4802,1619,4281,676,4050,4695,2360,257,2141,4802,83.66,75.62,89.15,84.34,97.77,84.71,14.17,81.02
Dec,Maharashtra,Hingoli,Hingoli,2800,2134,429,822,810,2627,82,1251,4934,3437,3,8.76,14.89,34.43,4.06,17.23,23.36,339,2276,783,2049,2069,1681,140,14.89,6.15,90.91,90.03,73.86,308,7350,2446,6609,1017,6484,7268,1992,388,3203,7350,79.38,76.37,89.92,88.22,98.88,85.75,7.99,81.65
Dec,Maharashtra,Hingoli,Kalamnuri,1987,1688,133,432,469,1710,31,565,3675,2179,1.27,5.38,16.05,34.94,3.25,15.1,12.81,231,1499,673,1341,1365,1111,117,15.41,7.81,91.06,89.46,74.12,190,4420,1662,3905,630,3984,4339,2062,314,2425,4420,60.51,68.54,88.35,90.14,98.17,85.25,13.54,80.48
Dec,Maharashtra,Hingoli,Sengaon,2137,1344,100,321,348,1256,31,421,3481,1604,1.01,4.24,13.52,35.01,2.68,12.37,14.42,170,1342,492,1224,1219,938,151,12.67,11.25,90.83,91.21,69.9,184,4337,1433,3885,620,3871,4256,1434,255,1938,4337,72.16,73.94,89.58,89.26,98.13,84.47,9.71,82.07
Dec,Maharashtra,Jalgaon,Amalner,1206,529,67,371,211,902,14,438,1735,1113,0.66,4.34,5.24,17.18,2.03,10.69,10.07,137,897,558,857,860,677,254,15.27,28.32,95.88,95.54,75.47,121,3157,969,2964,502,2917,3119,9353,154,1278,3157,78.57,75.82,93.89,92.4,98.8,91.27,90.46,89.85
Dec,Maharashtra,Jalgaon,Bhadgaon,2218,1015,211,584,312,1426,15,795,3233,1738,2.03,7.65,9.76,31.1,2.92,16.29,8.57,126,1092,586,1013,1017,828,219,11.54,20.05,93.13,92.77,75.82,151,3658,1183,3359,578,3248,3567,9396,201,1560,3658,75.12,75.83,91.83,88.79,97.51,93.23,79.33,87
Dec,Maharashtra,Jalgaon,Bhusawal,3458,2040,472,932,539,2112,47,1404,5498,2651,2.32,6.91,9.98,26.89,2.45,12.06,13.62,323,2315,1034,2217,2219,1867,355,13.95,15.33,95.85,95.77,80.65,319,8238,2345,7575,1180,7433,8158,9695,375,3049,8238,85.07,76.91,91.95,90.23,99.03,91.83,36.43,87.72
Dec,Maharashtra,Jalgaon,Bodvad,1268,576,110,429,243,1084,13,539,1844,1327,1.93,9.46,10.1,32.34,4.17,22.8,27.66,66,572,311,533,542,432,176,11.54,30.77,94.76,93.18,75.52,45,1840,468,1663,249,1565,1806,4646,56,671,1840,80.36,69.75,90.38,85.05,98.15,86.46,76.67,86.89
Dec,Maharashtra,Jalgaon,Chalisgaon,4365,2730,398,967,678,2784,65,1365,7095,3462,1.93,6.61,13.22,34.36,3,15.34,17.91,171,2381,1169,2173,2207,1724,350,7.18,14.7,92.69,91.26,72.41,319,7954,2379,7278,1228,6800,7720,17052,413,3279,7954,77.24,72.55,91.5,85.49,97.06,90.43,65.26,85.44
Dec,Maharashtra,Jalgaon,Chopda,3314,1618,243,775,416,2110,34,1018,4932,2526,1.33,5.57,8.84,26.96,2.17,13.2,12.06,215,1720,979,1610,1611,1334,369,12.5,21.45,93.66,93.6,77.56,268,6176,1927,5461,908,5372,6091,15832,331,2546,6176,80.97,75.69,88.42,86.98,98.62,89.81,79.72,83.64
Dec,Maharashtra,Jalgaon,Dharangaon,1637,900,149,455,297,1276,23,604,2537,1573,1.82,7.39,11,31.01,3.46,18.32,20,72,782,453,705,716,554,110,9.21,14.07,91.56,90.15,70.84,100,2595,814,2351,399,2296,2536,5987,133,1130,2595,75.19,72.04,90.6,88.48,97.73,83.3,67.71,81.49
Dec,Maharashtra,Jalgaon,Erandol,1778,1183,137,317,230,1022,15,454,2961,1252,1.65,5.45,14.19,35.53,2.48,13.51,11.72,117,906,399,830,835,663,90,12.91,9.93,92.16,91.61,73.18,115,2955,876,2682,455,2578,2928,4398,147,1223,2955,78.23,71.63,90.76,87.24,99.09,87.84,44,83.5
Dec,Maharashtra,Jalgaon,Jalgaon,5847,2759,304,1205,609,3038,49,1509,8606,3647,1.18,5.84,10.66,33.24,2.08,12.45,11.11,312,2826,1171,2657,2679,2120,454,11.04,16.07,94.8,94.02,75.02,403,9949,2980,9042,1465,8646,9858,13124,485,3980,9949,83.09,74.87,90.88,86.9,99.09,89.38,41.02,85.34
Dec,Maharashtra,Jalgaon,Jamner,5603,3322,238,847,747,3806,56,1085,8925,4553,1.12,5.12,15.65,42.06,3.01,18.35,20.9,253,2444,1140,2264,2301,1773,311,10.35,12.73,94.15,92.64,72.55,255,8350,2304,7746,1248,7641,8257,18110,317,3053,8350,80.44,75.47,92.77,91.51,98.89,90.63,68.03,88.44
Dec,Maharashtra,Jalgaon,Muktainagar,3125,1066,213,637,318,1727,23,850,4191,2045,1.78,7.09,8.89,34.93,2.59,16.67,12.71,162,1099,511,1034,1051,828,209,14.74,19.02,95.63,94.09,75.34,156,3707,1156,3460,530,3151,3655,6823,192,1476,3707,81.25,78.32,93.34,85,98.6,93.31,57.11,90.67
Dec,Maharashtra,Jalgaon,Pachora,2995,1493,191,607,353,1755,31,798,4488,2108,1.25,5.22,9.75,29.31,2.17,12.98,13.08,183,1704,841,1570,1587,1264,346,10.74,20.31,93.13,92.14,74.18,215,5094,1453,4916,793,4406,5037,12324,265,2045,5094,81.13,71.05,96.51,86.49,98.88,88.21,72.25,89.95
Dec,Maharashtra,Jalgaon,Parola,1457,880,105,420,186,925,17,525,2337,1111,1.04,5.21,8.72,23.17,1.76,10.51,15.04,168,972,596,918,930,668,160,17.28,16.46,95.68,94.44,68.72,105,3350,951,3096,542,2937,3310,8603,129,1326,3350,81.4,71.72,92.42,87.67,98.81,91.71,78.7,87.02
Dec,Maharashtra,Jalgaon,Raver,3690,2106,348,792,468,2278,50,1140,5796,2746,2.02,6.61,12.2,33.57,2.52,14.8,16.72,159,1850,1265,1690,1717,1362,732,8.59,39.57,92.81,91.35,73.62,271,6030,1839,5602,937,5251,5956,17269,337,2494,6030,80.42,73.74,92.9,87.08,98.77,88.06,91.71,86.66
Dec,Maharashtra,Jalgaon,Yawal,3030,1689,351,688,471,1901,31,1039,4719,2372,2.64,7.8,12.66,35.37,3.42,17.23,14.98,139,1180,535,1112,1126,887,71,11.78,6.02,95.42,94.24,75.17,188,4470,1276,4116,715,3981,4393,4724,237,1736,4470,79.32,73.5,92.08,89.06,98.28,90.51,31.88,85.57
Dec,Maharashtra,Jalna,Ambad,2903,2281,402,731,470,1651,48,1133,5184,2121,2.75,7.76,15.58,35.4,2.78,12.57,22.43,124,1638,668,1515,1533,1239,139,7.57,8.49,93.59,92.49,75.64,197,4999,1541,4460,750,4229,4841,1568,261,2076,4999,75.48,74.23,89.22,84.6,96.84,88.86,9.11,82.93
Dec,Maharashtra,Jalna,Badnapur,2511,2078,207,444,461,1284,47,651,4589,1745,1.86,5.85,18.64,41.16,3.69,13.96,27.17,116,1276,464,1169,1177,914,118,9.09,9.25,92.24,91.61,71.63,148,3689,1149,3382,600,3167,3553,928,214,1581,3689,69.16,72.68,91.68,85.85,96.31,85.84,7.28,84.4
Dec,Maharashtra,Jalna,Bhokardan,3104,3290,385,728,566,1893,45,1113,6394,2459,2.18,6.31,18.59,36.13,2.49,10.84,17.31,168,2109,710,1983,2006,1586,149,7.97,7.06,95.12,94.03,75.2,256,6682,2063,6125,1075,5907,6540,2716,330,2758,6682,77.58,74.8,91.66,88.4,97.87,91.72,12.01,86.34
Dec,Maharashtra,Jalna,Ghansawangi,2630,1779,375,604,300,1109,45,979,4409,1409,2.46,6.43,11.65,28.87,1.78,8.35,19.15,202,1574,615,1446,1458,1144,316,12.83,20.08,92.63,91.87,72.68,220,5047,1693,4446,736,4527,4977,2101,283,2270,5047,77.74,74.58,88.09,89.7,98.61,83.07,11.46,79.08
Dec,Maharashtra,Jalna,Jafrabad,1620,669,217,398,165,807,32,615,2289,972,1.86,5.26,5.72,19.57,1.33,7.83,25,95,1186,458,1146,1154,899,194,8.01,16.36,97.3,96.63,75.8,137,3831,1125,3467,578,3411,3790,1954,177,1518,3831,77.4,74.11,90.5,89.04,98.93,89.75,15.83,86.07
Dec,Maharashtra,Jalna,Jalna,7314,5300,927,1930,1335,5178,71,2857,12614,6513,3.1,9.57,17.68,42.08,4.12,20.11,20.46,338,3140,1105,2952,2981,2398,376,10.76,11.97,94.94,94.01,76.37,310,10216,2971,8676,1550,8801,10040,5949,393,3925,10216,78.88,75.69,84.93,86.15,98.28,88.77,17.78,79.78
Dec,Maharashtra,Jalna,Mantha,1675,1353,229,553,284,1016,30,782,3028,1300,2.18,7.45,12.84,28.73,2.48,11.37,20.55,63,1187,380,1112,1118,919,81,5.31,6.82,94.19,93.68,77.42,140,3498,1035,3207,523,3127,3424,724,173,1377,3498,80.92,75.16,91.68,89.39,97.88,84.9,6.35,84.26
Dec,Maharashtra,Jalna,Partur,1345,1064,214,300,177,759,23,514,2409,936,2.56,6.15,12.68,28.72,1.68,8.88,16.79,91,916,316,846,850,655,117,9.93,12.77,92.79,92.36,71.51,124,3086,997,2820,466,2740,2987,853,151,1294,3086,82.12,77.05,91.38,88.79,96.79,89.62,8.1,82.89
Dec,Maharashtra,Kolhapur,Ajra,469,165,9,58,43,209,5,67,634,252,0.21,1.57,3.87,14.88,0.91,5.32,8.62,48,389,150,369,371,289,35,12.34,9,95.37,94.86,74.29,53,1500,407,1306,218,1367,1489,410,67,541,1500,79.1,75.23,87.07,91.13,99.27,85.49,8.49,82.4
Dec,Maharashtra,Kolhapur,Bavda,480,271,39,121,92,368,16,160,751,460,1.96,8.06,13.64,37.8,4.26,21.32,47.06,16,237,110,229,229,173,12,6.75,5.06,96.62,96.62,73,29,732,200,634,105,695,720,318,41,256,732,70.73,78.13,86.61,94.95,98.36,91.3,13.96,84.42
Dec,Maharashtra,Kolhapur,Bhudargad,1220,557,55,149,127,524,14,204,1777,651,0.83,3.07,8.37,26.7,1.84,9.42,22.22,90,671,338,630,627,477,34,13.41,5.07,93.44,93.89,71.09,55,2217,509,1955,295,1996,2186,2199,71,717,2217,77.46,70.99,88.18,90.03,98.6,89.94,30.75,85.26
Dec,Maharashtra,Kolhapur,Chandgad,1207,568,97,250,153,640,13,347,1775,793,1.22,4.36,7.12,22.26,1.67,8.68,9.15,70,943,421,853,858,665,100,7.42,10.6,90.99,90.46,70.52,115,3182,958,2888,419,3012,3145,1500,164,1366,3182,70.12,70.13,90.76,94.66,98.84,79.81,14.35,82.4
Dec,Maharashtra,Kolhapur,Gadhinglaj,1515,637,32,177,132,613,7,209,2152,745,0.35,2.27,6.93,23.4,1.35,7.63,5.74,187,921,496,886,890,684,199,20.3,21.61,96.63,96.2,74.27,106,3020,870,2792,416,2839,2998,4305,144,1161,3020,73.61,74.94,92.45,94.01,99.27,89.66,45.47,89.89
Dec,Maharashtra,Kolhapur,Hatkanangle,6084,2635,439,1550,877,4088,39,1989,8719,4965,1.32,5.96,7.89,26.1,2.29,12.96,10.99,391,3081,1186,2944,2972,2305,225,12.69,7.3,96.46,95.55,74.81,345,12276,2916,11053,1697,11087,12169,11867,403,3840,12276,85.61,75.94,90.04,90.31,99.13,92.08,29.91,87.35
Dec,Maharashtra,Kolhapur,Kagal,1726,599,83,387,220,1030,16,470,2325,1250,0.73,4.14,5.28,20.5,1.77,10.04,10.67,169,1188,515,1125,1127,838,57,14.23,4.8,94.87,94.7,70.54,136,4230,1063,3882,617,3951,4203,3595,176,1448,4230,77.27,73.41,91.77,93.4,99.36,92.5,27.63,88.45
Dec,Maharashtra,Kolhapur,Karvir,3223,990,81,515,307,1611,11,596,4213,1918,0.46,3.37,5.6,23.84,1.63,10.19,10,253,1662,760,1609,1619,1194,267,15.22,16.06,97.41,96.81,71.84,103,6054,1159,5644,854,5647,6000,8505,136,1707,6054,75.74,67.9,93.23,93.28,99.11,90.56,44.15,91.08
Dec,Maharashtra,Kolhapur,Kolhapur,4682,2423,463,1179,659,2319,92,1642,7105,2978,1.6,5.68,8.38,24.56,2.04,9.23,24.08,304,2863,1022,2743,2759,2159,207,10.62,7.23,96.37,95.81,75.41,362,10436,2838,9538,1442,9717,10357,7771,453,3746,10436,79.91,75.76,91.4,93.11,99.24,90.69,22.36,87.45
Dec,Maharashtra,Kolhapur,Panhala,1343,426,29,232,180,701,30,261,1769,881,0.22,2,3.27,13.57,1.24,6.08,14.49,156,1276,592,1235,1236,983,140,12.23,10.97,96.87,96.79,77.04,193,4486,1323,4081,574,4011,4452,3326,238,1667,4486,81.09,79.36,90.97,89.41,99.24,90.68,22.87,88.39
Dec,Maharashtra,Kolhapur,Radhanagari,1100,384,52,181,126,540,20,233,1484,666,0.54,2.42,3.99,15.41,1.18,6.24,13.16,133,1061,456,1015,1017,775,101,12.54,9.52,95.85,95.66,73.04,140,3351,947,3024,494,3050,3317,3895,175,1264,3351,80,74.92,90.24,91.02,98.99,92.34,35.87,87.12
Dec,Maharashtra,Kolhapur,Shahuwadi,1715,796,44,286,194,937,9,330,2511,1131,0.51,3.81,9.18,28.95,2.18,12.68,8.41,83,850,379,808,812,637,43,9.76,5.06,95.53,95.06,74.94,108,2780,796,2484,397,2599,2752,3088,130,1038,2780,83.08,76.69,89.35,93.49,98.99,92.54,35.05,86.16
Dec,Maharashtra,Kolhapur,Shirol,2347,805,119,433,289,1174,22,552,3152,1463,0.68,3.17,4.62,18.09,1.55,7.83,8.59,210,1814,767,1732,1738,1378,149,11.58,8.21,95.81,95.48,75.96,231,6190,1718,5724,910,5741,6135,5857,283,2302,6190,81.63,74.63,92.47,92.75,99.11,91.09,30.05,88.9
Dec,Maharashtra,Latur,Ahmadpur,1757,1522,178,250,274,1080,43,428,3279,1354,2.26,5.43,19.29,41.56,2.57,12.69,27.74,181,1097,481,1001,1019,822,132,16.5,12.03,92.89,91.25,74.93,141,3579,1083,3287,527,3165,3494,1745,183,1428,3579,77.05,75.84,91.84,88.43,97.63,90.09,15.36,87.12
Dec,Maharashtra,Latur,Ausa,2162,1224,181,341,307,1071,45,522,3386,1378,1.49,4.29,10.05,27.8,1.97,8.83,19.31,178,1502,605,1375,1385,1063,125,11.85,8.32,92.21,91.54,70.77,211,5088,1532,4694,731,4448,4947,1950,279,2149,5088,75.63,71.29,92.26,87.42,97.23,87.76,11.89,86.83
Dec,Maharashtra,Latur,Chakur,1928,1005,160,307,193,961,10,467,2933,1154,1.51,4.42,9.49,27.71,1.63,9.75,7.63,197,1123,504,1070,1076,856,255,17.54,22.71,95.81,95.28,76.22,126,3678,1101,3454,552,3467,3629,8582,143,1441,3678,88.11,76.41,93.91,94.26,98.67,91.39,76.98,89.62
Dec,Maharashtra,Latur,Deoni,663,519,81,159,86,350,10,240,1182,436,2.08,6.15,13.28,30.24,1.82,9.23,10.42,71,547,220,475,486,373,9,12.98,1.65,88.85,86.84,68.19,65,1811,602,1640,249,1709,1777,259,114,818,1811,57.02,73.59,90.56,94.37,98.12,82.72,4.04,80.12
Dec,Maharashtra,Latur,Jalkot,756,523,117,148,139,451,16,265,1279,590,3.43,7.77,15.27,37.33,3.48,14.76,23.19,63,467,185,403,412,321,46,13.49,9.85,88.22,86.3,68.74,60,1487,514,1360,257,1340,1452,310,90,741,1487,66.67,69.37,91.46,90.11,97.65,82.9,6.03,81.19
Dec,Maharashtra,Latur,Latur,1653,1098,256,386,304,1066,23,642,2751,1370,2.7,6.78,11.58,29.02,2.72,12.27,14.47,121,1203,435,1102,1112,834,100,10.06,8.31,92.44,91.6,69.33,139,3813,1097,3475,526,3538,3740,827,191,1658,3813,72.77,66.16,91.14,92.79,98.09,67.96,6.51,80.24
Dec,Maharashtra,Latur,Murud,934,414,56,140,102,480,12,196,1348,582,0.94,3.28,6.93,22.57,1.2,6.87,11.01,117,814,368,760,762,590,132,14.37,16.22,93.61,93.37,72.48,98,2625,776,2446,360,2443,2577,3336,137,1015,2625,71.53,76.45,93.18,93.07,98.17,89.11,38.21,87.33
Dec,Maharashtra,Latur,Nilanga,1844,1099,168,307,313,1052,41,475,2943,1365,1.73,4.89,11.29,30.22,2.34,10.21,17.3,194,1611,653,1415,1425,1124,96,12.04,5.96,88.45,87.83,69.77,187,4927,1570,4422,607,4409,4823,783,281,2245,4927,66.55,69.93,89.75,89.49,97.89,76.93,4.47,78.61
